Bill Date,PayInvoice ID,Bill Number,PurchaseOrder,Bill Status,Is Inclusive Tax,Submitted By,Approved By,Submitted Date,Approved Date,Vendor Name,Location ID,Location Name,Due Date,Currency Code,Exchange Rate,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Brand,Account,Description,Quantity,Usage unit,Line Item Location ID,Line Item Location Name,Rate,Purchase Receive Number,Purchase Order Number,Bill Receive Status,Manually Received Quantity,Customer Name,Tax ID,Tax Name,Tax Percentage,Tax Amount,Tax Type,Item Tax Authority,Is Landed Cost,Item Total,SubTotal,Discount Type,Is Discount Before Tax,Discount,Discount Amount,Entity Discount Percent,Entity Discount Amount,Discount Account,Item Discount Account,Total,Balance,Adjustment,Adjustment Description,Vendor Notes,Terms & Conditions
2026-01-01,5623409000001043949,59576457,59576457,Overdue,false,,,,,Goodwill Industries of the Columbia Willamette,5623409000000090078,Head Office,2026-01-01,USD,1.00,Bose Wave Music System II - Platinum White,5623409000000144125,[OLD]-00092,,,,,,Inventory Asset,,1.00,,5623409000000090078,Head Office,57.00,USAV1249,59576457,,,,5623409000000301091,TBU (8.16%),8.160000,4.65,ItemAmount,TBU,false,57.00,76.99,entity_level,true,0.00,0.0,0.00,0.000,,,103.39,103.39,20.12,S&H,,
2026-01-01,5623409000001043949,59576457,59576457,Overdue,false,,,,,Goodwill Industries of the Columbia Willamette,5623409000000090078,Head Office,2026-01-01,USD,1.00,Bose 161 Speaker System (Black) - Ideal for Stereo or Home Theater use,5623409000000222983,[OLD]-04902-Bk,,,,,,Inventory Asset,,1.00,PAIR,5623409000000090078,Head Office,19.99,USAV1249,59576457,,,,5623409000000301091,TBU (8.16%),8.160000,1.63,ItemAmount,TBU,false,19.99,76.99,entity_level,true,0.00,0.0,0.00,0.000,,,103.39,103.39,20.12,S&H,,
2026-01-01,5623409000001051030,59614948,59614948,Overdue,false,,,,,Goodwill Northern Michigan,5623409000000090078,Head Office,2026-01-01,USD,1.00,Bose Companion 2 Series II Multimedia Speaker System,5623409000000102334,[OLD]-04898,,,,,,Inventory Asset,,1.00,PAIR,5623409000000090078,Head Office,14.99,USAV1250,59614948,,,,5623409000001044000,TBU (9.54%),9.540000,1.43,ItemAmount,TBU,false,14.99,14.99,entity_level,true,0.00,0.0,0.00,0.000,,,36.87,36.87,20.45,S&H,,
2026-01-01,5623409000001051106,8208526239128387,8208526239128387,Overdue,false,,,,,Aliexpress,5623409000000090078,Head Office,2026-01-01,USD,1.00,"Replacement For Bose Surround Speakers 700, Black - New",5623409000000347876,,,,,,,Inventory Asset,,1.00,set,5623409000000090078,Head Office,394.84,USAV1209,8208526239128387,,,,,,,,,,false,394.84,394.84,entity_level,true,0.00,0.0,0.00,0.000,,,394.84,394.84,0.00,S&H,,
2026-01-02,5623409000001058037,06-14051-89883,06-14051-89883,Overdue,false,,,,,saltcitysecondhand,5623409000000090078,Head Office,2026-01-02,USD,1.00,Bose Wave Radio and CD Player AWRC-1P White,5623409000000102653,[OLD]-00968-W,,,,,,Inventory Asset,,1.00,pcs,5623409000000090078,Head Office,159.99,USAV1180,06-14051-89883,,,,,,,,,,false,159.99,159.99,entity_level,true,0.00,0.0,0.00,0.000,,,177.95,177.95,17.96,S&H,,
2026-01-02,5623409000001058112,17-14036-17293,17-14036-17293,Overdue,false,,,,,dbeau450,5623409000000090078,Head Office,2026-01-02,USD,1.00,Bose Wave Radio and CD Player AWRC-1P White,5623409000000102653,[OLD]-00968-W,,,,,,Inventory Asset,,1.00,pcs,5623409000000090078,Head Office,179.00,USAV1199,17-14036-17293,,,,,,,,,,false,179.00,179.00,entity_level,true,0.00,0.0,0.00,0.000,,,179.00,179.00,0.00,S&H,,
2026-01-02,5623409000001058112,17-14036-17293,17-14036-17293,Overdue,false,,,,,dbeau450,5623409000000090078,Head Office,2026-01-02,USD,1.00,"Bose Wave Radio/CD Remote Control for Model AWRC-1G, Black",5623409000000301795,[OLD]-00030,,,,,,Inventory Asset,,1.00,pcs,5623409000000090078,Head Office,0.00,USAV1199,17-14036-17293,,,,,,,,,,false,0.00,179.00,entity_level,true,0.00,0.0,0.00,0.000,,,179.00,179.00,0.00,S&H,,
2026-01-02,5623409000001058195,18-14034-92174,18-14034-92174,Overdue,false,,,,,kdeagle67,5623409000000090078,Head Office,2026-01-02,USD,1.00,Bose Wave Radio and CD Player AWRC-1P White,5623409000000102653,[OLD]-00968-W,,,,,,Inventory Asset,,1.00,pcs,5623409000000090078,Head Office,58.88,USAV1149,18-14034-92174,,,,,,,,,,false,58.88,58.88,entity_level,true,0.00,0.0,0.00,0.000,,,58.88,58.88,0.00,S&H,,
2026-01-02,5623409000001058278,09-14047-39147,09-14047-39147,Overdue,false,,,,,blinkbodega,5623409000000090078,Head Office,2026-01-02,USD,1.00,Bose Wave Radio and CD Player AWRC-1P White,5623409000000102653,[OLD]-00968-W,,,,,,Inventory Asset,,1.00,pcs,5623409000000090078,Head Office,59.95,USAV1122,09-14047-39147,,,,,,,,,,false,59.95,59.95,entity_level,true,0.00,0.0,0.00,0.000,,,59.95,59.95,0.00,S&H,,
2026-01-02,5623409000001058371,21-14030-40480,21-14030-40480,Overdue,false,,,,,bigbtra-38,5623409000000090078,Head Office,2026-01-02,USD,1.00,Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input) Black,5623409000000102499,[OLD]-01103,,,,,,Inventory Asset,,1.00,PAIR,5623409000000090078,Head Office,59.99,USAV1158,21-14030-40480,,,,,,,,,,false,50.99,50.99,entity_level,true,0.00,0.0,0.00,9.000,Cost of Goods Sold,,67.24,67.24,16.25,S&H,,
