Purchase Receive ID,Receive Number,Receive Date,Status,Vendor Name,PO Number,Bill Number,Item Name,SKU,Item Description,Item unit,Quantity Received,Line Item Location Name,Notes,CreatedTime,Last Modified Time
5623409000001062191,USAV1118,2026-01-02,received,stanton18.6,19-13996-16935,19-13996-16935,Bose Wave Radio and CD Player AWRC-1P White,[OLD]-00968-W,,pcs,1.000000,Head Office,"KAI 1/2 2:34
WAVE RADIO-WHITE
SN: 02075C31935797AC- TK 7899
Bose Wave AWRC-1P Stereo CD Player and Radio with Remote - WhiteLike new pre-owned
Runs amazingly
No remote at this time
https://www.ebay.com/itm/187567404007
PAYPAL
941083010935500757665
9410830109355007576652",2026-01-02 19:18:33,2026-01-02 19:18:33
5623409000001062299,USAV1119,2026-01-02,received,teninyu,111-5191418-2017000,111-5191418-2017000,"TENINYU USB 2.0 A Male to DC 4.0x1.7mm 5 Volt 24AWG DC Barrel Jack Power Cable 3FT (Max 2.5 Ampere Power Cable, Center PIN Positive) - New",,,pcs,10.000000,Head Office,"tk 7900- KAI 1/2 3:09
5 POWER CABLES + USB CABLE 20 PACK BULK 
TENINYU USB 2.0 A Male to DC 4.0x1.7mm 5 Volt 24AWG DC Barrel Jack Power Cable 3FT (Max 2.5 Ampere Power Cable, Center PIN Positive), 2Pack
https://www.amazon.com/dp/B01MR6DFAD/ref=pe_386300_440135490_TE_simp_item",2026-01-02 23:23:39,2026-01-02 23:23:39
5623409000001062341,USAV1120,2026-01-02,received,SMAYS,111-2698065-3689825,111-2698065-3689825,"Smays Micro USB Cable 20-Pack Bulk, 3ft Charging Cord Multi Pack, Black - New",,,Pack,1.000000,Head Office,"KAI 1/2 3:09
5 POWER CABLES + USB CABLE 20 PACK BULK 
Smays Micro USB Cable 20-Pack Bulk, 3ft Charging Cord Multi Pack, Black
https://www.amazon.com/dp/B0DZXRD764/ref=pe_386300_440135490_TE_simp_item?th=1",2026-01-02 23:24:03,2026-01-02 23:24:03
5623409000001067015,USAV1102,2026-01-02,received,Goodwill Industries of Greater Cleveland & East Central Ohio,59302830,59302830,"Bose 731396-1100 SoundTouch 10 Wireless Speaker, Works with Alexa, Black",[OLD]-01894,1479,,1.000000,Head Office,"KAI 1/2 1:11

Bose SoundTouch 10 Wireless Music System Bluetooth Wi-Fi Speaker 416776
https://shopgoodwill.com/item/250194886
Credit Card
397130060686
",2026-01-02 13:12:43,2026-01-02 13:12:43
5623409000001067057,USAV1103,2026-01-02,received,MERS/Missouri Goodwill Industries,59333444,59333444,Bose 141 Pair Fullrange Bookshelf Speakers,[OLD]-00976,"008796930370158BC
008796930370158AC
",,1.000000,Head Office,"KAI 1/2 1:15

Set of 2 Bose 141 Black Bookshelf Compact 40W Stereo Speakers
https://shopgoodwill.com/item/250068160
 Apple Pay 
397191384146
",2026-01-02 13:16:32,2026-01-02 13:16:32
5623409000001067101,USAV1104,2026-01-02,received,Goodwill of Central & Southern Indiana,59424050,59424050,Bose Wave Radio AM/FM Alarm Clock,[OLD]-00007-W,"025337C33390343AC
",,1.000000,Head Office,"KAI 1/2 1:20


Bose Wave Radio Model AWR1W1 - AM/FM Alarm Clock with AUX Input
https://shopgoodwill.com/item/250713088
Credit Card
397230012665
",2026-01-02 13:21:19,2026-01-02 13:21:19
5623409000001067143,USAV1105,2026-01-02,received,dogtown_sells1,23-14010-45630,23-14010-45630,Bose Wave - Audio System - Radio / Cd - Graphite Gray,[OLD]-04886,"022373C93351666AC
",,1.000000,Head Office,"KAI 1/2 2:05


BOSE - Wave AM/FM Radio CD Player Music System - Model: AWRC-1G - No Remote
https://www.ebay.com/itm/187883088246
APPLE PAY
9434608106245661539354",2026-01-02 14:06:27,2026-01-02 14:06:27
5623409000001067185,USAV1106,2026-01-02,received,elliottbaymercantile,26-14006-13702,26-14006-13702,Bose Wave Radio and CD Player AWRC-1P White,[OLD]-00968-W,,pcs,1.000000,Head Office,"Bose Wave AWRC-1P Stereo CD Player AM/FM Radio with Remote Works
https://www.ebay.com/itm/127587709047
APPLE PAY
9434608106245659206565",2026-01-02 14:11:55,2026-01-02 14:11:55
5623409000001067185,USAV1106,2026-01-02,received,elliottbaymercantile,26-14006-13702,26-14006-13702,"Bose Wave Radio/CD Remote Control for Model AWRC-1P, White",[OLD]-05012,"023075C10755595AC
",pcs,1.000000,Head Office,"Bose Wave AWRC-1P Stereo CD Player AM/FM Radio with Remote Works
https://www.ebay.com/itm/127587709047
APPLE PAY
9434608106245659206565",2026-01-02 14:11:55,2026-01-02 14:11:55
5623409000001067238,USAV1107,2026-01-02,received,retrogamesmediaandmore,11-14027-18966,11-14027-18966,Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input) Black,[OLD]-01103,"060285Z2990090AE
060285Z52990090BE
",PAIR,1.000000,Head Office,"KAI 1/2 2:15


Bose Companion 2 Series III Multimedia Computer PC Laptop Speakers Tested Works
https://www.ebay.com/itm/306682049903
APPLE PAY
9434608106244632880754",2026-01-02 14:16:38,2026-01-02 14:16:38
