Payment Number,Payment Number Prefix,Payment Number Suffix,VendorPayment ID,Date,Vendor Name,Location ID,Location Name,Mode,Description,Exchange Rate,Currency Code,Amount,Paid Through,Reference Number,PIPayment ID,Bill Date,Bill Number,Bill Amount,Payment Status,Bank Charges
78,,78,5623409000001879628,2026-03-24,lska.310,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,81.650,Petty Cash,,5623409000001879637,2026-03-24,26-14385-58520,81.650,Paid,0.000
79,,79,5623409000001879725,2026-03-25,sphynx_gaming,5623409000000090078,Head Office,Cash,,1.000000000000,USD,50.000,Petty Cash,,5623409000001879734,2026-03-24,24-14403-31153,50.000,Paid,0.000
80,,80,5623409000001879822,2026-03-24,thegridgoodwill,5623409000000090078,Head Office,Cash,,1.000000000000,USD,73.990,Petty Cash,,5623409000001879831,2026-03-24,02-14420-70144,73.990,Paid,0.000
81,,81,5623409000001879935,2026-03-24,goodwillsocalshop,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,57.990,Petty Cash,,5623409000001879944,2026-03-24,20-14394-60511,57.990,Paid,0.000
82,,82,5623409000001883056,2026-03-24,macmotorman,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,49.990,Petty Cash,,5623409000001883065,2026-03-24,23-14390-82154,49.990,Paid,0.000
83,,83,5623409000001883169,2026-03-24,josbrou_81,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,304.970,Petty Cash,,5623409000001883178,2026-03-24,20-14395-61240,304.970,Paid,0.000
85,,85,5623409000001883387,2026-03-19,bibbidibobbidibuys55,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,30.500,Petty Cash,,5623409000001883396,2026-03-19,17-14378-89498,30.500,Paid,0.000
86,,86,5623409000001883490,2026-03-18,tor-3558,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,84.810,Petty Cash,,5623409000001883499,2026-03-18,21-14365-85931,84.810,Paid,0.000
90,,90,5623409000001893072,2026-03-26,Computer Server Accessories Store,5623409000000090078,Head Office,Cash,,1.000000000000,USD,626.160,Petty Cash,,5623409000001893081,2026-03-26,8210475010048387,626.160,Paid,0.000
91,,91,5623409000001893171,2026-03-27,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,40.450,Petty Cash,,5623409000001893180,2026-03-27,61358279,40.450,Paid,0.000
