Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount	Order Item ID
112-3068222-6171425	15-Jun-2026	21-Jun-2026	Approved	DHz4DwlHRRMA	 	AmazonPrePaidLabel	7.78	USD	UPS	1ZY228K59067730651	Seller	N	N	B00CD1PTF0	XT-4F5Q-ILMH	Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input) Black	1	CR-MISSING_PARTS	Y	C-Returns	StandardRefund	 	 	158.26	1	 	 	 	 	 	 	162421756890761
114-2261753-2564257	12-Jun-2026	20-Jun-2026	Approved	Dq3mY0l7RRMA	 	AmazonPrePaidLabel	20.19	USD	UPS	1ZY228K59067082450	Customer	N	N	B0DW6GZZC7	EQ-TCIV-7XRH	Replacement Bose 3·2·1® Home Entertainment System (Series I) Subwoofer Only	1	CR-NOT_COMPATIBLE	Y	C-Returns	StandardRefund	 	 	183.83	1	 	 	 	 	 	 	162259516043681
114-9710428-1627468	28-May-2026	19-Jun-2026	Approved	DK8ZYwlmRRMA	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B00CLUM7TO	R2-35Y6-A3GD	Bose® Solo/CineMate® Universal Remote	1	CR-DEFECTIVE	Y	Amazon CS	StandardRefund	 	 	82.58	1	 	 	 	 	 	 	161009597121841
113-7660596-2456231	23-May-2026	18-Jun-2026	Approved	D7xFY3lGRRMA	 	AmazonPrePaidLabel	8.95	USD	UPS	1ZY228K59066265497	Customer	N	N	B0GNNQPSTJ	BN-L3PT-JVXD	Bose Wave Music System CD Player, AM/FM Radio (Graphite Gray) – USAV Bundle with Bluetooth Adapter	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	StandardRefund	 	 	413.52	1	 	 	 	 	 	 	160626189010601
112-6538864-8617858	09-Jun-2026	18-Jun-2026	Approved	D2kpy1lqRRMA	 	AmazonPrePaidLabel	5.97	USD	USPS	9302010623390252694914	Seller	N	N	B0D2LYKS5K	86-977J-78GA	USAV Bluetooth Adapter for Bose Wave Music System (USAV Bluetooth Adapter for Bose Wave Music System Only)	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	 	29.83	1	 	 	 	 	 	 	161938016574441
114-9575628-0038655	10-Jun-2026	17-Jun-2026	Approved	Dt84yllZRRMA	 	AmazonPrePaidLabel	6.52	USD	USPS	9302010623390252652464	Seller	N	N	B0DNWVF1PF	F8-O398-D9YB	Replacement 2.75-Inch Bose Wave Full-Range Speaker, 25 Watts, Cloth Edge	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	 	37.05	1	 	 	 	 	 	 	162048954755561
114-8320407-7639467	06-Jun-2026	16-Jun-2026	Approved	DpLzyKlZRRMA	 	AmazonPrePaidLabel	8.95	USD	UPS	1ZY228K59065225746	Customer	N	N	B0001H9TGI	00999-W	Bose 151 SE Environmental Speakers, Elegant Outdoor Speakers - White	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	StandardRefund	 	 	478.87	1	 	 	 	 	 	 	161759864584881
112-5412493-9710668	04-Jun-2026	16-Jun-2026	Approved	DWs0yClRRRMA	 	AmazonPrePaidLabel	8.95	USD	UPS	1ZY228K59065168040	Seller	N	N	B0001H9TGI	00999-W	Bose 151 SE Environmental Speakers, Elegant Outdoor Speakers - White	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	477.28	1	 	 	 	 	 	 	161495580809681
114-1947664-6654627	02-Jun-2026	16-Jun-2026	Approved	DvnYy2l6RRMA	 	AmazonPrePaidLabel	6.24	USD	USPS	9302010623390252321322	Customer	N	N	B07W82BYZK	0I-NZ1E-BCF0	USAV HDMI Output Upgrade Kit for Bose 321 Series II	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	44.08	1	 	 	 	 	 	32.85	161404864277041
111-1888194-4620233	06-Jun-2026	16-Jun-2026	Approved	DFPZy4lpRRMA	 	AmazonPrePaidLabel	11.00	USD	UPS	1ZY228K59064982644	Seller	N	N	B07F3BBXJ6	8Y-ZFPE-YB69	Bose Bass Module 500 Black	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	19-Jun-2026	564.84	1	 	 	 	 	 	 	161748624493601
111-0352519-6531475	09-Jun-2026	16-Jun-2026	Approved	DHKmwmlgRRMA	 	AmazonPrePaidLabel	6.24	USD	USPS	9302010623390252290505	Customer	N	N	B011I7Z4BI	YR-44E5-8HTH	New OEM Original RC38T1-27 Remote Control for Bose AV38 AV48 Media Center in Lifestyle 38/48	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	202.92	1	 	 	 	 	 	 	161960537735761
