"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2026-06-28T12:51:15+00:00","114-4288718-3639456","RV-DAXK-2RQH","B0C79M1QCM","X004WMG0T3","50 ft RCA to Bare Wire Speaker Cable for Rear Bose Cube Speakers/Acoustimass Lifestyle Systems - Single - White","1","LEX1","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNNE6D3RT3ZQ","the connection isn&#39;t as described in the write up and wont work"
"2026-06-26T22:06:27+00:00","112-6899720-4038646","amzn.gr.Q7-QWV1-34DN-yrL8NgKs3lbVUtXh-LN","B0C7FJZC73","X00506QDFL","USAV OEM Bluetooth Adapter for Bose Lifestyle | Bose 321","1","LAS2","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNPMGQ1644598",
"2026-06-26T11:20:52+00:00","112-6844575-4221831","AH-GZU6-NKEM","B0C79P9K65","X00444UQJT","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","LAS2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNPMGN0987591",
"2026-06-26T06:05:31+00:00","112-5628569-8392237","5U-TN1A-Q7PR","B0C7B348MY","X004A0205P","USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only","1","HOU3","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNPMGU8231765",
"2026-06-25T18:06:11+00:00","112-3726863-6201808","NV-6VNP-5YFT","B0C79P9K65","X004NN93RH","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","LEX1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNNE6T8FXHFL",
"2026-06-24T14:45:56+00:00","113-1658312-8845039","3B-SK9L-KCVF","B01AWLPUAG","X0036X1R51","Bose Solo 5 TV Soundbar Sound System with Universal Remote Control, Black","1","SDF6","DEFECTIVE","FOUND_BETTER_PRICE","Unit returned to inventory","LPNNA6FCB2BTQ","Changed Mind|Found a better price"
"2026-06-24T05:55:29+00:00","114-5368641-2373002","00874-N","B08D68QLW3","X004ULJ93Z","Bose Smart Soundbar 300, Bluetooth Wireless Sound Bar for TV with Built-in Microphone and Alexa Voice Control, Black","1","CVG2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNK56CFSTRQ",
"2026-06-23T10:17:31+00:00","113-2238795-6122633","01357-NF","B0D6LWQ74M","X004O7IZ8F","Replacement Bose AV 130 Control Console for Bose Cinemate 130/ Soundtouch 130","1","EWR7","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNRRJI7751292",
"2026-06-23T06:43:12+00:00","111-6036807-4190626","CZ-G5NU-3JFT","B0C7FJZC73","X00466I2SH","USAV OEM Bluetooth Adapter for Bose Lifestyle | Bose 321","1","CHA1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNNE6C177SGY",
"2026-06-22T16:49:17+00:00","112-4314615-7985825","US-7QWA-VVA6","B00N1SSX6Q","X0047VJEJR","Bose Solo 15 TV Sound System, Black","1","TUS1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPMGT6810866",
"2026-06-21T16:05:15+00:00","114-0637266-8008268","AH-GZU6-NKEM","B0C79P9K65","X00444UQJT","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","PHX6","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNO509202469",
