po_number,po_date,po_source,vendor_name,po_zoho_id,db_po_total,zoho_po_total,shipping_amount,tax_amount,handling_amount,total_charges,bill_count,bill_id,bill_number,bill_status,bill_subtotal,bill_adjustment,bill_adjustment_desc,bill_total,total_diff,classification,notes
06-15048-88070,2026-08-17,UNKNOWN,67eringobragh,5623409000003347363,470.00,470.00,0.00,0.00,0.00,0.00,1,5623409000003349027,06-15048-88070,open,470.00,45.00,Shipping Fee + Tax + Handling Fee,515.00,45.00,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 45.00 (bill adjustment=45.00, charges=0.00)"
27-15009-35043,2026-08-16,UNKNOWN,howdah55,5623409000003348031,28.80,28.80,0.00,0.00,0.00,0.00,1,5623409000003335993,27-15009-35043,overdue,28.80,19.85,Shipping Fee + Tax + Handling Fee,48.65,19.85,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 19.85 (bill adjustment=19.85, charges=0.00)"
16-15028-59608,2026-08-16,UNKNOWN,gwnw165.2025,5623409000003338862,36.98,36.98,0.00,0.00,0.00,0.00,1,5623409000003338872,16-15028-59608,overdue,36.98,16.99,Shipping Fee + Tax + Handling Fee,53.97,16.99,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 16.99 (bill adjustment=16.99, charges=0.00)"
19-15023-30962,2026-08-16,UNKNOWN,whyhoardstuff95,5623409000003338855,19.74,19.74,0.00,0.00,0.00,0.00,1,5623409000003347346,19-15023-30962,overdue,19.74,10.00,Shipping Fee + Tax + Handling Fee,29.74,10.00,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 10.00 (bill adjustment=10.00, charges=0.00)"
20-15021-44672,2026-08-16,UNKNOWN,thrifttolife,5623409000003338848,20.98,20.98,0.00,0.00,0.00,0.00,1,5623409000003335973,20-15021-44672,overdue,20.98,6.99,Shipping Fee + Tax + Handling Fee,27.97,6.99,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 6.99 (bill adjustment=6.99, charges=0.00)"
24-15029-26681,2026-08-16,UNKNOWN,secondhanddreams1419,5623409000003338841,41.68,41.68,0.00,0.00,0.00,0.00,1,5623409000003347326,24-15029-26681,overdue,41.68,9.69,Shipping Fee + Tax + Handling Fee,51.37,9.69,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 9.69 (bill adjustment=9.69, charges=0.00)"
24-15029-28758,2026-08-16,UNKNOWN,damir309,5623409000003335956,38.06,38.06,0.00,0.00,0.00,0.00,1,5623409000003344720,24-15029-28758,overdue,38.06,8.07,Shipping Fee + Tax + Handling Fee,46.13,8.07,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 8.07 (bill adjustment=8.07, charges=0.00)"
22-15013-04585,2026-08-15,UNKNOWN,resell_me,5623409000003335760,97.71,97.71,0.00,0.00,0.00,0.00,1,5623409000003347078,22-15013-04585,overdue,97.71,12.72,Shipping Fee + Tax + Handling Fee,110.43,12.72,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 12.72 (bill adjustment=12.72, charges=0.00)"
12-15031-38639,2026-08-15,UNKNOWN,vintage_fantastique,5623409000003347068,159.20,159.20,0.00,0.00,0.00,0.00,1,5623409000003343866,12-15031-38639,overdue,159.20,24.20,Shipping Fee + Tax + Handling Fee,183.40,24.20,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 24.20 (bill adjustment=24.20, charges=0.00)"
17-15022-44480,2026-08-15,UNKNOWN,never_forever,5623409000003343856,106.97,106.97,0.00,0.00,0.00,0.00,1,5623409000003338638,17-15022-44480,overdue,106.97,36.97,Shipping Fee + Tax + Handling Fee,143.94,36.97,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 36.97 (bill adjustment=36.97, charges=0.00)"
09-15036-65988,2026-08-15,UNKNOWN,ctrsg49902010,5623409000003335753,136.78,136.78,0.00,0.00,0.00,0.00,1,5623409000003344433,09-15036-65988,overdue,136.78,28.78,Shipping Fee + Tax + Handling Fee,165.56,28.78,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 28.78 (bill adjustment=28.78, charges=0.00)"
LCPU - A VU - 08.14.2026,2026-08-15,UNKNOWN,LCPU - A VU,5623409000003344375,0.00,0.00,0.00,0.00,0.00,0.00,0,,,UNBILLED,0.00,0.00,,0.00,0.00,UNBILLED,PO has no linked bills in Zoho
24-15022-98344,2026-08-15,UNKNOWN,maracina7,5623409000003344347,87.67,87.67,0.00,0.00,0.00,0.00,1,5623409000003344357,24-15022-98344,overdue,87.67,24.68,Shipping Fee + Tax + Handling Fee,112.35,24.68,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 24.68 (bill adjustment=24.68, charges=0.00)"
09-15032-90928,2026-08-14,UNKNOWN,ddennard30_gmail,5623409000003338559,442.50,442.50,0.00,0.00,0.00,0.00,1,5623409000003344324,09-15032-90928,overdue,442.50,47.50,Shipping Fee + Tax + Handling Fee,490.00,47.50,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 47.50 (bill adjustment=47.50, charges=0.00)"
09-15032-94397,2026-08-14,UNKNOWN,scottrowsalsa,5623409000003337807,74.97,74.97,0.00,0.00,0.00,0.00,1,5623409000003343796,09-15032-94397,overdue,74.97,20.98,Shipping Fee + Tax + Handling Fee,95.95,20.98,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 20.98 (bill adjustment=20.98, charges=0.00)"
17-15019-42609,2026-08-14,UNKNOWN,greensale99,5623409000003344286,947.76,947.76,0.00,0.00,0.00,0.00,1,5623409000003344296,17-15019-42609,overdue,947.76,38.88,Shipping Fee + Tax + Handling Fee,986.64,38.88,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 38.88 (bill adjustment=38.88, charges=0.00)"
08-15027-20064,2026-08-12,UNKNOWN,punkpo,5623409000003339178,160.99,160.99,0.00,0.00,0.00,0.00,1,5623409000003339188,08-15027-20064,overdue,160.99,25.00,Shipping Fee + Tax + Handling Fee,185.99,25.00,OVERBILLED_CUSTOM_ADJ,"Bill total exceeds PO total by 25.00 (bill adjustment=25.00, charges=0.00)"
