PO ID,PO Number,Bill ID,Bill Number,Extracted Date,Notes,Terms,Flagged
5623409000002742257,24-14769-08756,5623409000002741284,24-14769-08756,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9400108106244242001462
Bose 251 Environmental Outdoor Speakers Pair Black Excellent Condition: https://www.ebay.com/itm/318410709843",,Yes
5623409000002747222,07-14784-21498,5623409000002743289,07-14784-21498,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106244244415085
Bose Curved Wall-Mount Speakers Pair (2) Wired White: https://www.ebay.com/itm/267695265409",,Yes
5623409000002749161,18-14766-20323,5623409000002747206,18-14766-20323,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
2x BOSE 151 SE Outdoor Environmental Speakers White~  No Brackets~ Tested, works: https://www.ebay.com/itm/127924150285",,Yes
5623409000002749140,04-14789-52820,5623409000002743270,04-14789-52820,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106245267138302
Bose 151 SE White Outdoor Speakers (2) - Great Working Condition With Brackets: https://www.ebay.com/itm/257562698709",,Yes
5623409000002748207,16-14769-64060,5623409000002741258,16-14769-64060,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: EM1013096206592FE06020059B0N
BOSE 151 SE Speaker Black Single Patio Pool Outdoor Indoor Tested From Japan: https://www.ebay.com/itm/147329908263",,Yes
5623409000002743241,02-14793-14541,5623409000002743251,02-14793-14541,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106245266646099
BOSE RC18T1-27 Genuine Remote Control For Lifestyle 18 28 35 System OEM Clean: https://www.ebay.com/itm/298417088698",,Yes
5623409000002749133,20-14763-06099,5623409000002747187,20-14763-06099,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Genuine Bose RC18T1-27 Remote Control Working: https://www.ebay.com/itm/398059374723",,Yes
5623409000002743234,24-14771-36459,5623409000002741232,24-14771-36459,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
BOSE RC-18T1-27 REMOTE CONTROL: https://www.ebay.com/itm/318410139291",,Yes
5623409000002747177,08-14782-56213,5623409000002742227,08-14782-56213,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9235990407314810260579
AC Adapter Charger for Bose Solo TV Soundbar Solo 5 Power Supply Cord Cable PSU: https://www.ebay.com/itm/333572826335",,Yes
5623409000002747170,06-14786-37678,5623409000002741213,06-14786-37678,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Lifestyle SA3 Stereo Channel Power Amplifier 400W Black: https://www.ebay.com/itm/326962335728",,Yes
