po_id,po_number,order_date,received_status,billed_status,extracted_received_date,notes,terms
5623409000002430406,LCPU MAR 30,2026-03-30,to_be_received,to_be_billed,,Source: MANUAL,
5623409000002432242,112-8964034-9191428,2026-03-27,to_be_received,to_be_billed,,".
Source: MANUAL
Tracking: TBA329759808348
Stationery Purchase: true",
5623409000002423956,112-8964034-8191428,2026-03-27,to_be_received,to_be_billed,,"Imported from Amazon orders CSV.
Source: AMAZON_CSV
Stationery Purchase: true
Anylabel 2"" x 1"" Direct Thermal Label, Paper for Barcodes Postage Address Perforated & Compatible with Rollo, Zebra, Munbyn, Nelko Printers(12 Rolls, 1300 Labels/Roll): https://amazon.com/dp/B07XB9NK1D",
5623409000002429535,113-7718478-1082621,2026-03-18,to_be_received,to_be_billed,,"Imported from Amazon orders CSV
Source: AMAZON_CSV
Stationery Purchase: true
Yeardera Fabric Glue, Permanent, Clear, Washable Adhesive for Clothing, Patches, Leather, Cotton, Denim, Polyester, Flannel, and All Fabrics: https://amazon.com/dp/B0CMQQ8Z9T",
5623409000002425906,257651898,2026-03-10,to_be_received,to_be_billed,,"Bose SoundTouch Model 412530 Wireless Adapter Home Theater Speaker Not Tested
https://shopgoodwill.com/item/257651898
Source: MANUAL
Source: ZOHO_IMPORT",
5623409000002431102,61067861,2026-03-09,to_be_received,to_be_billed,,"Imported from Goodwill shipped-orders CSV.
Source: GOODWILL_SHIPPED
Tracking: Refunded
Bose SoundTouch SA-5 Amplifier (No Power Cord, Untested): https://shopgoodwill.com/item/257283429",
5623409000002226073,10-14575-12021,2026-04-30,to_be_received,to_be_billed,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Lot of 1-100 2 Prong AC Polarized Power Cord Cable C7P Connector 3FT 5FT 10FT[150 PCS,5 FT]: https://www.ebay.com/itm/356128470974",
5623409000002183695,LCPU - A VU - 04.24.26,2026-04-24,to_be_received,to_be_billed,,Source: MANUAL,
5623409000002091474,25-14475-66776,2026-04-13,to_be_received,to_be_billed,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Companion 2 2.0 Channel Computer Speakers Wired Black Volume Control: https://www.ebay.com/itm/306876853254",
5623409000002084127,14-14478-64509,2026-04-10,to_be_received,to_be_billed,,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Bose Companion 2 Series III Multimedia Computer PC Speakers +  & Power TESTED: https://www.ebay.com/itm/178036210919",
5623409000002032436,LCPU MAR 11 AVU,2026-03-11,to_be_received,to_be_billed,,"Source: MANUAL
Tracking: LCPU A VU",
5623409000002033152,NEW LCPU MAR 11,2026-03-11,to_be_received,to_be_billed,,Source: MANUAL,
5623409000002033046,NEW LCPU MAR 16,2026-03-16,to_be_received,to_be_billed,,Source: MANUAL,
5623409000002029103,113-4897166-4684240,2026-03-10,to_be_received,to_be_billed,2026-03-17,"return this order : Amazon Order #
113-4897166-4684240  -   Reason: Price too high

KAI 3/17 1:57
AMPLIFIER
SN: 0642
Imported from Amazon orders CSV.
Source: AMAZON_CSV
Bose Music Amplifier - Speaker amp with Bluetooth & Wi-Fi connectivity: https://amazon.com/dp/B0BDSKPB5L",
5623409000002011535,61535039,2026-03-30,to_be_received,to_be_billed,2026-04-06,"KAI 4/6 2:41
259099858- Bose SoundDock 10 Digital Music System
259076539- Bose 3-2-1Powered Speaker System Subwoofer w/ Gemstone Speakers & Parts
Imported from Goodwill shipped-orders CSV.
Source: GOODWILL_CSV
Tracking: LOCALPICKUP211738461775324325
Bose SoundDock 10 Digital Music System: https://shopgoodwill.com/item/259099858
Bose 3-2-1Powered Speaker System Subwoofer w/ Gemstone Speakers & Parts - READ: https://shopgoodwill.com/item/259076539",
5623409000001983020,113-3447521-5217028,2026-03-20,to_be_received,to_be_billed,,"Imported from Amazon orders CSV.
Source: AMAZON_CSV
Fabric Glue Permanent (10 ML x 8), Fabric Glue for Clothing Permanent Washable for Rhinestones, Patches, Clothes, Denim, Leather, Polyester, Fabrics, Doll Repair, Flannel, Cotton & More: https://amazon.com/dp/B0DSW16KFL
Stationery Purchase: true",
5623409000001927224,06-14428-18620,2026-03-27,to_be_received,to_be_billed,2026-03-30,"Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9400136106196353038925
Lot Of 2 Bose RC38T1-27 Remote Control for Lifestyle AV38 AV48 - Untested, As Is: https://www.ebay.com/itm/287202527378","KAI, 3/30, ZD 8700"
5623409000001926226,06-14420-86406,2026-03-25,to_be_received,to_be_billed,2026-03-31,"KAI 3/31 12:05

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9400108106244957619310
X360 -Disc- Guitar Hero III Legends of Rock (Microsoft Xbox 360): https://www.ebay.com/itm/236663513913",
5623409000001923136,11-14420-63469,2026-03-27,to_be_received,to_be_billed,2026-03-31,"KAI 3/31 3:56

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9400108106244960411253
Bose Remote Control MODEL RC20T for AV20 Media Player Lifestyle T20/T10: https://www.ebay.com/itm/127634881299",
5623409000001924119,10-14421-93564,2026-03-27,to_be_received,to_be_billed,,"cuong, 16: 20' : RCT20 remote


Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9400108106244960785477
BOSE OEM RC20T LIFESTYLE T20 remote control.: https://www.ebay.com/itm/306746215859",
5623409000001922215,18-14410-73660,2026-03-27,to_be_received,to_be_billed,2026-03-31,"KAI 3/31 11:57
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9400108106245984782190
Bose Remote Control RC20T Lifestyle T10/T20 AV20 V 25/35/135 Genuine - Tested: https://www.ebay.com/itm/389794319431",
5623409000001926178,25-14402-28028,2026-03-27,to_be_received,to_be_billed,2026-03-30,"cuong, 3/30. 16:30'


Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9405508106244961782850
BOSE OEM RC20T LIFESTYLE T10, T20  remote: https://www.ebay.com/itm/206154376297",
5623409000001926135,AB-300181,2026-03-23,to_be_received,to_be_billed,2026-03-27,"KAI 3/27 1:20
4 BLACK
4 WHITE Source: MANUAL
Tracking: 1Z6980E80393916437",
5623409000001922091,B003964009,2026-03-16,to_be_received,to_be_billed,2026-03-19,"KAI 3/19 9:30
1Z965EW40324706592
1Z965EW40324706609
Source: ZOHO_IMPORT
Tracking: Shipping
KAI 3/19 9:30
SN: 04421Z40730546AE
074421Z40730534AE
1Z965EW40324706592
1Z965EW40324706609",
5623409000001924081,NEW LCPU MAR 20,2026-03-20,to_be_received,to_be_billed,,"

Source: MANUAL",
5623409000001924023,05-14436-87370,2026-03-29,to_be_received,to_be_billed,,"Refunded. 


Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106244965619656
Bose 251 Environmental Wall Speaker, Black, 100W, Rectangular, 6 Ohms 2 set: https://www.ebay.com/itm/406810075752",
5623409000001883689,27-14393-27554,2026-03-26,to_be_received,to_be_billed,2026-03-31,"kai 3/31 10:13 Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106245981959818
Bose Companion 2 Series III 2.0 Channel Wired Computer Speakers Black 3.5mm: https://www.ebay.com/itm/298158600426",
5623409000001883562,19-14404-74995,2026-03-26,to_be_received,to_be_billed,2026-03-30,"KAI 3/30 4:13

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106244957770990
Bose 251 Environmental Speakers Outdoor All Weather White Pair EXCELLENT QUALITY: https://www.ebay.com/itm/397760625961",
5623409000001883217,26-14388-63786,2026-03-25,to_be_received,to_be_billed,2026-03-31,"KAI 3/31 9:57

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 61299998825435513859
Bose Companion 2 Series III Multimedia Speaker System - Tested: https://www.ebay.com/itm/157782718460",
5623409000001883104,20-14395-61240,2026-03-24,to_be_received,to_be_billed,2026-03-31,"KAI 3/31 10:04 https://www.ebay.com/itm/397755007210
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 399918239680
BOSE 251 Environmental Outdoor Speakers black (Pair) TESTED No Brackets-READ: https://www.ebay.com/itm/397755007210",
5623409000001879991,23-14390-82154,2026-03-24,to_be_received,to_be_billed,2026-03-31,"KAI 3/31 11:27
https://www.ebay.com/itm/406742754597
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106245978470784
Bose SoundTouch Wireless Adapter WiFi Bluetooth 412451-SM2: https://www.ebay.com/itm/406742754597",
5623409000001879870,20-14394-60511,2026-03-24,to_be_received,to_be_billed,2026-03-31,"KAI 3/31 10:48
WAVE RADIO II
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 399985618521
Bose Wave Radio II Black AM FM Alarm Clock AUX Input Home Audio with Remote: https://www.ebay.com/itm/267601416776",
5623409000001879662,24-14403-31153,2026-03-24,to_be_received,to_be_billed,2026-03-26,"KAI 3/26 3:49
https://www.ebay.com/itm/157779803138
good condition
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106244949505920
Bose Companion 2 Series III Multimedia Speaker System No Power Adapter: https://www.ebay.com/itm/157779803138",
5623409000001879563,26-14385-58520,2026-03-24,to_be_received,to_be_billed,2026-03-26,"KAI 3/26 3:29
https://www.ebay.com/itm/177986424256
Good Condition
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_PURCHASING_API
Tracking: 9434608106245974750729
Bose Companion 2 Series III Multimedia PC/ Speakers Set - Work.  Smoke free home: https://www.ebay.com/itm/177986424256",
5623409000001880288,06-14383-43649,2026-03-17,to_be_received,to_be_billed,2026-03-24,"KAI 3/24 4:26
IIIImported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 1Z14V49E0319157042
Item Links:
- Bose Companion 2 Series III Multimedia Computer PC Laptop Speakers: https://www.ebay.com/itm/267610349714
Source: EBAY_PURCHASING_API",
5623409000001877779,15-14376-14264,2026-03-18,to_be_received,to_be_billed,2026-03-23,"KAI 3/23 1:53

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 399785153281
Item Links:
- Bose Multimedia Speaker Companion 5 Gray Desktop System Control Pod Cables: https://www.ebay.com/itm/267601005629
Source: EBAY_PURCHASING_API",
5623409000001881136,09-14383-47974,2026-03-18,to_be_received,to_be_billed,2026-03-23,"KAI 3/23 2:08


Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 399805766228
Item Links:
- Bose LOT Wave Music System Multi CD Changer Accessory 3 Disc Player FOR PARTS: https://www.ebay.com/itm/206143997183
Source: EBAY_PURCHASING_API",
5623409000001879521,10-14381-92616,2026-03-18,to_be_received,to_be_billed,2026-03-24,"KAI 3/24 4:52

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 1Z78Y5W70392077889
Item Links:
- Bose Wave Music System AWRCC1 CD Player AM/FM Radio - Free Shipping: https://www.ebay.com/itm/188166395044
Source: EBAY_PURCHASING_API",
5623409000001877735,11-14386-73982,2026-03-19,to_be_received,to_be_billed,2026-03-26,"KAI 3/26 3:56

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 9405508106244938736992
Item Links:
- Bose AV 520 Acoustimass Home Theater Speakers (3) Surround (1) Center Channel: https://www.ebay.com/itm/397714644850
Source: EBAY_PURCHASING_API",
5623409000001881122,20-14372-03452,2026-03-19,to_be_received,to_be_billed,2026-03-24,"KAI 3/24 4:37 Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 1Z14V49E0309061253
Item Links:
- Bose  VCS-10 Center Channel Speaker - Black nice looking & working pre-owned con: https://www.ebay.com/itm/306823976284
Source: EBAY_PURCHASING_API",
5623409000001881108,24-14381-05943,2026-03-19,to_be_received,to_be_billed,2026-03-25,"KAI 3/25 2:11

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 61299998825434347639
Item Links:
- Bose Companion 2 Series III Multimedia Computer PC Laptop  Speakers Black: https://www.ebay.com/itm/406736007532
Source: EBAY_PURCHASING_API",
5623409000001879507,18-14380-64732,2026-03-20,to_be_received,to_be_billed,2026-03-25,"KAI 3/25 9:45
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 9434636106196304474927
Item Links:
- Bose Companion 2 Series III Multimedia Speaker System Black PC Laptop Speakers: https://www.ebay.com/itm/157772170744
Source: EBAY_PURCHASING_API",
5623409000001880244,19-14378-04432,2026-03-20,to_be_received,to_be_billed,2026-03-30,"KAI 3/30 12:02

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 399810616491
Item Links:
- BOSE 251 Environmental Outdoor Speakers black (Pair) TESTED WORKING: https://www.ebay.com/itm/267614404244
Source: EBAY_PURCHASING_API",
5623409000001880230,08-14393-65557,2026-03-20,to_be_received,to_be_billed,2026-03-30,"KAI 3/30 12:11

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 9434608106245959691993
Item Links:
- Bose Companion 2 Series III Multimedia Computer PC Laptop Speakers Tested Works: https://www.ebay.com/itm/318033934004
Source: EBAY_PURCHASING_API",
5623409000001878648,11-14389-48517,2026-03-20,to_be_received,to_be_billed,2026-03-24,"KAI 3/24 10:32


Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 9434608106245959786446
Item Links:
- Bose Companion 2 Series III Multimedia PC Black Speakers - NO Power Supply: https://www.ebay.com/itm/198207446134
Source: EBAY_PURCHASING_API",
5623409000001878620,08-14393-63727,2026-03-20,to_be_received,to_be_billed,2026-03-25,"KAI 3/25 4:31

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 9434608106245958890069
Item Links:
- Bose Companion 2 Series III Multimedia Computer PC Laptop  Speakers Black: https://www.ebay.com/itm/137151076652
Source: EBAY_PURCHASING_API",
5623409000001880216,09-14392-30944,2026-03-20,to_be_received,to_be_billed,2026-03-25,"KAI 3/25 4:40 
Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 9434608106245959271997
Item Links:
- Bose Companion 2 Series III Computer Sound System Some Nicks On The Fabric: https://www.ebay.com/itm/358352912025
Source: EBAY_PURCHASING_API",
5623409000001881078,04-14403-84827,2026-03-21,to_be_received,to_be_billed,2026-03-30,"kai 3/30 4:05

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 399853369721
Item Links:
- Bose VCS-10 Center Channel Surround Sound Wired & 3 Redline Double Cube Speakers: https://www.ebay.com/itm/188183678924
Source: EBAY_PURCHASING_API",
5623409000001879493,04-14403-84579,2026-03-21,to_be_received,to_be_billed,2026-03-26,"KAI 3/26 4:00 Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 1Z78Y5W70391965037
Item Links:
- Bose VCS-10 Center Channel Home Theater Speaker - Free Sipping: https://www.ebay.com/itm/406783706768
Source: EBAY_PURCHASING_API",
5623409000001882019,11-14393-56597,2026-03-21,to_be_received,to_be_billed,2026-03-25,"kai 3/25 3:28 

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 9434608106244942091482
Item Links:
- Bose Companion 2 Series III Multimedia Desktop Laptop PC Speaker System: https://www.ebay.com/itm/277773186723
Source: EBAY_PURCHASING_API",
5623409000001879479,20-14380-51892,2026-03-21,to_be_received,to_be_billed,2026-03-26,"KAI 3/26 3:44

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 9434608106244944131599
Item Links:
- Bose Companion 2 Series III Multimedia Computer PC Laptop Speakers Black.   s3: https://www.ebay.com/itm/306833730407
Source: EBAY_PURCHASING_API",
5623409000001880174,01-14408-72171,2026-03-21,to_be_received,to_be_billed,2026-03-26,"kai 3/26 3:24

Imported via eBay GetOrders (Buyer) (ebay_purchasing).
Source: EBAY_BUYING_API
Tracking: 9434608106244938872613
Item Links:
- Bose Companion 2 Series III Multimedia Computer PC Laptop Speakers Tested Works: https://www.ebay.com/itm/298144983572
Source: EBAY_PURCHASING_API",
