Order #,Order Date,Item Id,Item,Category,Quantity,Item Price,Item End Time,Payment Date,Payment Amount,Tracking #,Tax,Additional Fee,Shipping Price,Handling Price,Donation,Shipped Date,Seller
60081146,1/23/2026,253231503,"Bose Wave Music System III - Powers On, Untested",Computers & Electronics > Home Electronics > CD Players,1,$99.76,1/23/2026,1/23/2026,$126.55,"398248386619	",$7.89,$0.00,$16.90,$2.00,$0.00,1/29/2026,Goodwill Industries of Upstate/Midlands South Carolina - GREENVILLE
60090151,1/24/2026,253352586,Pair of Bose Gemstone Speakers-Untested,Computers & Electronics,1,$9.99,1/23/2026,1/24/2026,$25.28,"398090617935	",$1.00,$0.00,$11.29,$3.00,$0.00,1/25/2026,Evergreen Goodwill
60090184,1/24/2026,253291735,Bose Wave Music System IV CD Player / AM/FM Radio (Tested & Working),Computers & Electronics > Home Electronics > Home Audio/Theater,1,$300.00,1/23/2026,1/30/2026,$343.17,"398596171194	",$23.33,$0.00,$18.84,$1.00,$0.00,2/10/2026,Goodwill Industries of Greater New York and Northern New Jersey
60090209,1/24/2026,253294415,bOSE TV SPEAKER-UNTESTED,Computers & Electronics > Home Electronics > Speakers,1,$33.00,1/23/2026,1/25/2026,$58.88,"398273353055	",$2.79,$0.00,$20.09,$3.00,$0.00,1/30/2026,Goodwill Industries of Southwestern Michigan
60090216,1/24/2026,253732057,Bose Black Acoustimass Module CineMate Series II Digital Home Theater Speaker,Computers & Electronics > Home Electronics > Speakers,1,$9.99,1/23/2026,1/25/2026,$40.77,"398413101394	",$0.85,$0.00,$28.93,$1.00,$0.00,2/4/2026,Goodwill Industries of the Southern Piedmont
60090224,1/24/2026,253278170,Bose VCS-10 Center Channel Speaker,Computers & Electronics > Home Electronics > Speakers,1,$9.99,1/23/2026,1/24/2026,$25.98,"398227492230	",$0.77,$0.00,$15.22,$0.00,$0.00,1/29/2026,"Goodwill Industries of West Michigan, Inc."
60090266,1/24/2026,253583043,Bose Sound Bar 500 Model 424096,Computers & Electronics > Home Electronics > Speakers,1,$86.00,1/23/2026,1/25/2026,$138.49,"398293271546	",$7.06,$0.00,$40.43,$5.00,$0.00,1/31/2026,Goodwill of Greater Washington D.C. -VA
60103461,1/24/2026,253742014,Bose Acoustimass 10 IV Black Home Speaker System Subwoofer Not Tested,Computers & Electronics > Home Electronics > Speakers,1,$5.99,1/24/2026,1/24/2026,$77.65,"398143299335	",$0.85,$0.00,$65.81,$5.00,$0.00,1/27/2026,Goodwill Industries of South Florida
60109176,1/25/2026,253462583,Bose Wave CD Player & Accessories Item powers on - no further testing,Computers & Electronics > Home Electronics > CD Players,1,$172.00,1/24/2026,1/25/2026,$211.27,"398108198297	",$13.56,$0.00,$22.72,$2.99,$0.00,1/26/2026,"Goodwill Industries - Big Bend, Inc."
60109328,1/25/2026,253645174,Bose Gray SoundDock Series II Digital Music System Speaker Not Tested,Computers & Electronics > Personal Electronics,1,$14.99,1/24/2026,1/29/2026,$38.66,"398263590190	",$1.55,$0.00,$17.12,$5.00,$0.00,1/30/2026,Goodwill Industries of South Florida
60109383,1/25/2026,253609438,Set of 2 Bose 201 Series IV Speakers (Untested),Computers & Electronics > Home Electronics > Speakers,1,$37.99,1/24/2026,1/30/2026,$73.87,"398502168600	",$3.10,$0.00,$30.78,$2.00,$0.00,2/6/2026,Goodwill Industries of the Southern Piedmont
60115030,1/25/2026,253463777,Bose Wave Music System AWRCC2 | Power Tested,Computers & Electronics > Home Electronics > Speakers,1,$124.00,1/24/2026,1/25/2026,$150.62,"398270714943	",$9.84,$0.00,$13.78,$3.00,$0.00,1/30/2026,"Goodwill Industries of Middle Tennessee, Inc."
60122194,1/25/2026,253413478,Pair of Bose Mountable Wall Speakers Untested,Computers & Electronics > Home Electronics > Speakers,1,$56.00,1/25/2026,1/26/2026,$74.86,"398160806896	",$4.57,$0.00,$11.29,$3.00,$0.00,1/27/2026,Evergreen Goodwill
60122458,1/25/2026,253401712,Bose 201 Series V Left Right Direct Reflecting Black Bookshelf Speakers untested,Computers & Electronics > Home Electronics > Speakers,1,$47.00,1/25/2026,1/26/2026,$68.80,"398171197395	",$3.87,$0.00,$14.93,$3.00,$0.00,1/27/2026,Evergreen Goodwill
60122583,1/25/2026,253407849,Bose #151 Environmental White Speakers (Untested),Computers & Electronics > Home Electronics > Speakers,1,$49.99,1/25/2026,1/26/2026,$69.14,"398242146541	",$4.10,$0.00,$12.06,$2.99,$0.00,1/29/2026,Goodwill Industries of NE Texas
60122659,1/25/2026,253601129,BOSE SoundDock Portable Speaker,Computers & Electronics > Home Electronics > Speakers,1,$17.55,1/25/2026,1/26/2026,$30.78,"458788252463	",$1.52,$0.00,$9.71,$2.00,$0.00,2/2/2026,"Goodwill Industries of San Joaquin Valley, Inc."
60122715,1/25/2026,253567449,"Set Of 3 Bose Home Theater Speakers- 151 x2, VS100 Video Speaker W/ Mounting",Computers & Electronics > Home Electronics > Speakers,1,$27.00,1/25/2026,1/26/2026,$52.43,"398228109576	",$2.48,$0.00,$17.95,$5.00,$0.00,1/29/2026,Goodwill of Western Missouri & Eastern Kansas
60123060,1/25/2026,253171795,Bose Wave Music System Model No. AWRCC2 + Wave Music System Accessory,Computers & Electronics > Home Electronics,1,$140.00,1/25/2026,1/30/2026,$174.23,"398415685338	",$11.02,$0.00,$20.96,$2.25,$0.00,2/4/2026,Hampton – Goodwill of Central & Coastal Virginia
60123151,1/25/2026,253055184,Bose SoundDock Series III Digital Music System Speaker,Computers & Electronics > Home Electronics > Speakers,1,$32.00,1/25/2026,1/30/2026,$52.96,"398329909349	",$2.65,$0.00,$16.06,$2.25,$0.00,2/2/2026,Hampton – Goodwill of Central & Coastal Virginia
