snapshot-date,sku,fnsku,asin,product-name,condition,available,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-366-to-455-days,inv-age-456-plus-days,currency,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,DEPRECATED healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,no-sale-last-6-months,Total Reserved Quantity,unfulfillable-quantity,quantity-to-be-charged-ais-181-210-days,estimated-ais-181-210-days,quantity-to-be-charged-ais-211-240-days,estimated-ais-211-240-days,quantity-to-be-charged-ais-241-270-days,estimated-ais-241-270-days,quantity-to-be-charged-ais-271-300-days,estimated-ais-271-300-days,quantity-to-be-charged-ais-301-330-days,estimated-ais-301-330-days,quantity-to-be-charged-ais-331-365-days,estimated-ais-331-365-days,quantity-to-be-charged-ais-366-455-days,estimated-ais-366-455-days,quantity-to-be-charged-ais-456-plus-days,estimated-ais-456-plus-days,historical-days-of-supply,fba-minimum-inventory-level,fba-inventory-level-health-status,Recommended ship-in quantity,Recommended ship-in date,Last updated date for Historical Days of Supply,Exempted from Low-Inventory-Level fee?,Low-Inventory-Level fee applied in current week?,Short term historical days of supply,Long term historical days of supply,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Transfer,Reserved FC Processing,Reserved Customer Order,Reserved Staging,Total Days of Supply (including units from open shipments),supplier,is-seasonal-in-next-3-months,season-name,season-start-date,season-end-date,Zoho SKU
6/8/2026,RV-DAXK-2RQH,X004WMG0T3,B0C79M1QCM,50 ft RCA to Bare Wire Speaker Cable for Rear Bose Cube Speakers/Acoustimass Lifestyle Systems – Single – White,New,2,0,6,0,0,0,0,0,USD,2,2,3,3,Low traffic,32.88,0,32.88,0,Advertise listing,,0,0,0,250,0.86,0.035576,cubic feet,Standard,0.071152,US,gl_home_entertainment,251565,275,0,24,52,32.88,65.76,65.76,98.64,98.64,0,6,0,0,0,0.36,10,0,10,0,,2,0,,,,,,,,,,,,,,,,,121.7,5,Low stock,,,6/8/2026,Yes,No,114.5,121.7,6/6/2026,14,2,0,2,0,306,unassigned,N,,,,
6/8/2026,H8-S4AZ-5RMQ,X004NDIUJJ,B001NJL6QE,Activision Wireless Drum Kit Set for Guitar Hero World Tour / Band Hero,Used,1,0,0,0,0,0,1,0,USD,,,,,Low traffic,588,0,0,588,Create removal order,,0,0,0,1818.56,0,7.171875,cubic feet,Oversize,7.171875,US,gl_video_games,86682,,1,,,588,,,,,0,0,0,0,0,53.17,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.49,0,0,,,Excess,,,,,,,,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,01901-W,X0050BZEJH,B0GN5RY831,Bluetooth WiFi SoundTouch Pedestal for Bose Wave Music System III IV - White,New,1,0,9,0,0,0,0,0,USD,0,1,2,2,Low traffic,178,0,178,0,CreateShippingPlan,,0,0,0,0,0.4,0.444444,cubic feet,Standard,0.444444,US,gl_electronics,494530,91,0,4,6,178,0,178,356,356,8,0,1,0,0,2.37,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,160,3,Healthy,,,6/8/2026,Yes,No,84.5,160,6/6/2026,9,8,0,0,0,91,unassigned,N,,,,
6/8/2026,PT-D051-M7LE,X001P14H5X,B00007AJ8B,Bose 151 Indoor/Outdoor Speaker Pair (White),Used,2,0,0,0,0,2,0,0,USD,,,,,Low traffic,368,0,0,238,Lower price,,0,0,0,420.54,0.46,0.6845,cubic feet,Standard,1.369,US,gl_electronics,414360,,2,,,238,,,,,0,0,0,1,1,9.6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,3.9,0,0,1,4.72,0,0,,,Excess,,,,,,,,6/6/2026,2,0,0,0,0,,unassigned,N,,,,
6/8/2026,T0-QGDN-MOLO,X003U4WNMR,B0001H9TGS,"Bose 151 SE Environmental Speakers, Elegant Outdoor Speakers - Black",Used,3,0,0,0,0,1,2,0,USD,0,0,0,0,Low conversion,698,0,0,698,Lower price,,0,0,0,1031.1,1.6,1.133234,cubic feet,Oversize,3.399702,US,gl_electronics,51603,,3,,,698,0,0,0,0,0,0,0,1,0,23.56,0,0,0,0,,0,0,0,0,0,0,0,0,1,6.18,0,0,0,0,2,15.64,0,0,,,Excess,,,,,,,,6/6/2026,3,0,0,0,0,,unassigned,N,,,,
6/8/2026,8E-DPY2-HPDX,X004MBN5EH,B000XYJ4PU,Guitar Hero III Legends of Rock Wired Bundle -Xbox 360,,0,0,0,0,0,0,1,0,USD,,,,,,0,0,0,0,NoRestockExcessActionRequired,,,0,0,,0,1.011836,cubic feet,Oversize,0,US,gl_video_games,5293,,0,,,249.95,,,,,0,0,0,0,0,,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.98,0,0,,,,,,,,,,,6/6/2026,0,0,0,0,1,,unassigned,N,,,,
6/8/2026,I6-PNFV-DOL4,X004A1SOL3,B0001H9TGI,"Bose 151 SE Environmental Speakers, Elegant Outdoor Speakers - White",Used,2,0,0,0,2,0,0,0,USD,0,0,0,0,Low conversion,728,0,0,488,Lower price,,0,0,0,677.83,1.26,1.171805,cubic feet,Oversize,2.34361,US,gl_electronics,51603,,2,,,488,0,0,0,0,0,0,0,2,0,4.13,0,0,0,0,,0,0,0,0,1,1.17,1,1.76,0,0,0,0,0,0,0,0,0,0,,,Excess,,,,,,,,6/6/2026,2,0,0,0,0,,unassigned,N,,,,
6/8/2026,FX-NYX7-3729,X0049XBP3L,B0001H9TGI,"Bose 151 SE Environmental Speakers, Elegant Outdoor Speakers - White",Used,2,0,2,0,0,0,0,0,USD,,,,,Low conversion,538,0,0,488,Lower price,,,0,0,,1.26,1.171805,cubic feet,Oversize,2.34361,US,gl_electronics,51603,,0,,,488,,,,,0,2,0,0,0,,2,0,0,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2026,4,0,0,0,0,,unassigned,N,,,,
6/8/2026,VQ-INZ7-DEER,X003H4TW9R,B00006I53B,Bose 161 Speaker System (White) - Ideal for Stereo or Home Theater use,Used,4,0,4,0,0,0,0,0,USD,0,0,0,2,Low traffic,178,0,0,177,NoRestockExcessActionRequired,,176.22,9,0,567.79,1.23,0.641365,cubic feet,Standard,2.56546,US,gl_electronics,82222,,0,,26,177,0,0,0,356,0,4,0,0,0,1.83,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,113.5,6/6/2026,4,0,0,0,0,,unassigned,N,,,,
6/8/2026,BJ-U4WX-4VNW,X00395V50D,B00006I53C,"Bose 251 Environmental Speakers, Premium Outdoor Speakers - Black",,2,0,2,0,0,0,0,0,USD,0,0,0,0,,0,0,599,728,GoToStranded,,718,9,0,860.69,3,1.839188,cubic feet,Oversize,3.678376,US,gl_electronics,39441,,0,,,599,0,0,0,0,0,0,2,0,0,1.89,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2026,2,0,0,0,0,,unassigned,N,,,,
