"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with a start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction status","Transaction Release Date"
"Dec 31, 2025 9:40:27 a.m. PST","25245686241","Order","701-9006119-2737038","M4-LZQE-2J02","Wall Mount Brackets Black (Pair) for Bose 321 Satellite Speakers","1","amazon.ca","Amazon","Shelburne","Nova Scotia","B0T 1W","","34.52","0","0","0","0","0","0","0","0","0","0","-5.18","-10.47","0","0","18.87","Released","Dec 31, 2025 9:40:27 a.m. PST"
"Jan 2, 2026 1:59:46 a.m. PST","25245686241","Order","701-2167961-4098642","QU-0W1L-CCVB","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","2","amazon.ca","Amazon","Hamilton","ON","L9C4M","","69.58","0","0","0","0","0","0","0","0","0","0","-10.44","-20.94","0","0","38.20","Released","Jan 2, 2026 1:59:46 a.m. PST"
"Jan 2, 2026 2:00:47 a.m. PST","25245686241","Order","702-8899554-0431433","QU-0W1L-CCVB","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","2","amazon.ca","Amazon","Brantford","Ontario","N3T 0M","","69.58","0","0","0","0","0","0","0","0","0","0","-10.44","-20.94","0","0","38.20","Released","Jan 2, 2026 2:00:47 a.m. PST"
"Jan 2, 2026 10:32:37 a.m. PST","25245686241","Order","701-1736557-5264250","QU-0W1L-CCVB","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","1","amazon.ca","Amazon","Windsor","Ontario","N8S 3J","","34.79","0","0","0","0","0","0","0","0","0","0","-5.22","-10.47","0","0","19.10","Released","Jan 2, 2026 10:32:37 a.m. PST"
"Jan 2, 2026 10:15:06 p.m. PST","25245686241","Order","702-4407807-3344229","F3-OVG8-05XK","USAV Set of 5 Speaker Cable for Bose Lifestyle Acoustimass System - RCA to Bare Wire","1","amazon.ca","Amazon","Brampton","Ontario","L6X 0W","","90.84","0","0","0","0","0","0","0","0","0","0","-13.63","-15.32","0","0","61.89","Released","Jan 2, 2026 10:15:06 p.m. PST"
"Jan 6, 2026 12:42:56 a.m. PST","25358547661","Order","701-2298239-3873823","QU-0W1L-CCVB","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","2","amazon.ca","Amazon","Trois-Rivieres","Quebec","G8W 1R","","69.58","0","0","0","0","0","0","0","0","0","0","-10.44","-20.94","0","0","38.20","Released","Jan 6, 2026 12:42:56 a.m. PST"
"Jan 6, 2026 1:54:08 a.m. PST","25358547661","Order","701-7493232-5446616","IY-GO3Y-T1CL","Wall Mount Brackets Black (Pair) for Bose Cinemate Series II Satellite Speakers","1","amazon.ca","Amazon","Ralston","Alberta","T0J 2N","","27.34","0","5.29","0","0","0","0","0","0","0","0","-4.10","-15.37","0","0","13.16","Released","Jan 6, 2026 1:54:08 a.m. PST"
"Jan 7, 2026 1:55:10 a.m. PST","25358547661","Order","701-4760545-2373033","QU-0W1L-CCVB","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","1","amazon.ca","Amazon","Beaumont","Quebec","G0R 1C","","34.79","0","0","0","0","0","0","0","0","0","0","-5.22","-10.47","0","0","19.10","Released","Jan 7, 2026 1:55:10 a.m. PST"
"Jan 7, 2026 2:36:05 a.m. PST","25358547661","Order","702-6649030-4749069","QU-0W1L-CCVB","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","1","amazon.ca","Amazon","Nipigon","Ontario","P0T 2J","","34.79","0","0","0","0","0","0","0","0","0","0","-5.22","-10.47","0","0","19.10","Released","Jan 7, 2026 2:36:05 a.m. PST"
"Jan 7, 2026 8:36:43 a.m. PST","25358547661","Transfer","","","To account ending with: 786","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-238.17","-238.17","Released","Jan 7, 2026 8:36:43 a.m. PST"
