"Incluye  transacciones de Amazon Marketplace, Fulfillment by Amazon (FBA) y Amazon Webstore"
"Todos los importes en MXN, a menos que se especifique"
"Definiciones:"
"fecha/hora: fecha y hora publicadas de la transacción"
"Impuesto de venta cobrado: Incluye impuesto de venta cobrado a los compradores por ventas de productos, envíos y envoltorio de regalo."
"Tarifas de venta: Incluye tarifas de cierre variable y de remisión."
"Tarifas de otra transacción: Incluye reintegros de envío, retenciones de envío y tarifas de cobro de impuestos de venta."
"Otro: Incluye otros importes de transacción no relacionados con el pedido. Para obtener más detalles, consulta las columnas ""Tipo"" y ""Descripción"" para cada Id. de pedido."
"Nota: los reportes con fecha de inicio del 1 de enero de 2025 o posterior se indexan por fecha de publicación, incluyen tanto las transacciones publicadas como las diferidas, y tienen dos columnas nuevas. Es posible que tengas que actualizar integraciones o correlaciones de terceros."
"fecha/hora","Id. de liquidación","tipo","Id. del pedido","sku","descripción","cantidad","marketplace","cumplimiento","ciudad del pedido","estado del pedido","código postal del pedido","modelo de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","créditos de envío","impuesto de abono de envío","créditos por envoltorio de regalo","impuesto de créditos de envoltura","Tarifa reglamentaria","Impuesto sobre tarifa reglamentaria","descuentos promocionales","impuesto de reembolsos promocionales","impuesto de retenciones en la plataforma","tarifas de venta","tarifas fba","tarifas de otra transacción","otro","total","Estado de la transacción","Fecha de liberación de la transacción"
"8 ene 2026 6:46:15 p.m. GMT-8","25296040861","Pedido","702-5475862-0653063","IY-GO3Y-T1CL","USAV Solutions Soportes de Montaje en Pared Negros (par) para Altavoces de satélite Bose Cinemate Series II","1","amazon.com.mx","Amazon","MERIDA","YUCATAN","97314","","475.93","0","0","0","0","0","0","0","0","0","0","-71.39","-162.14","0","0","242.40","Lanzado","8 ene 2026 6:46:15 p.m. GMT-8"
"9 ene 2026 3:37:20 p.m. GMT-8","25296040861","Pedido","701-1587523-3653818","QU-0W1L-CCVB","USAV - Soporte de techo de pared para altavoz Bose Jewel Cube, par de color negro","1","amazon.com.mx","Amazon","VALLE DE BRAVO","MEXICO","51200","","481.30","0","0","0","0","0","0","0","0","0","0","-72.20","-166.91","0","0","242.19","Lanzado","9 ene 2026 3:37:20 p.m. GMT-8"
"9 ene 2026 5:20:30 p.m. GMT-8","25296040861","Tarifa de servicio","","","Suscripción","","Amazon.com.mx","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-265.45","-265.45","Lanzado","9 ene 2026 5:20:30 p.m. GMT-8"
"11 ene 2026 6:56:52 p.m. GMT-8","25296040861","Pedido","702-2492062-3993044","NV-6VNP-5YFT","USAV Adaptador Bluetooth OEM para Bose Wave Music System II III IV AWRCC1, AWRCC2","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","01430","","508.00","0","83.21","0","0","0","0","0","-83.21","0","0","-76.20","-166.91","0","0","264.89","Lanzado","11 ene 2026 6:56:52 p.m. GMT-8"
"27 ene 2026 8:21:47 p.m. GMT-8","25508833181","Trasferir","","","Para la cuenta que termina en 786","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-711.45","-711.45","Lanzado","27 ene 2026 8:21:47 p.m. GMT-8"
"5 feb 2026 8:53:54 p.m. GMT-8","25508833181","Pedido","702-6986705-7617834","IY-GO3Y-T1CL","USAV Solutions Soportes de Montaje en Pared Negros (par) para Altavoces de satélite Bose Cinemate Series II","1","amazon.com.mx","Amazon","CIUDAD VICTORIA","TAMAULIPAS","87084","","460.95","0","0","0","0","0","0","0","0","0","0","-69.15","-154.67","0","0","237.13","Lanzado","5 feb 2026 8:53:54 p.m. GMT-8"
"9 feb 2026 6:17:01 p.m. GMT-8","25630190201","Tarifa de servicio","","","Suscripción","","Amazon.com.mx","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-261.00","-261.00","Lanzado","9 feb 2026 6:17:01 p.m. GMT-8"
"10 feb 2026 7:40:44 p.m. GMT-8","25630190201","Trasferir","","","Para la cuenta que termina en 786","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-37.47","-37.47","Lanzado","10 feb 2026 7:40:44 p.m. GMT-8"
"20 feb 2026 6:23:13 p.m. GMT-8","25630190201","Pedido","702-5868477-9487468","FJ-YYXV-BKTN","USAV - Juego de 5 cables de altavoz para sistema Bose Lifestyle Acoustimass - RCA a cable desnudo","1","amazon.com.mx","Amazon","GOMEZ PALACIO","DURANGO","35090","","1,131.66","0","0","0","0","0","0","0","0","0","0","-169.75","-203.02","0","0","758.89","Lanzado","20 feb 2026 6:23:13 p.m. GMT-8"
"23 feb 2026 7:56:17 p.m. GMT-8","25738544701","Pedido","702-6038781-7501834","NV-6VNP-5YFT","USAV Adaptador Bluetooth OEM para Bose Wave Music System II III IV AWRCC1, AWRCC2","1","amazon.com.mx","Amazon","HERMOSILLO","SONORA","83079","","508.00","0","0","0","0","0","0","0","0","0","0","-76.20","-159.10","0","0","272.70","Lanzado","23 feb 2026 7:56:17 p.m. GMT-8"
