platform,sku,listing_name,sku_name,platform_id
AMAZON,00001-BK,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,Bose VCS-10 Center Channel Speaker - Black,112-6617561-5046634
AMAZON,00001-SV,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,Bose VCS-10 Center Channel Speaker - Silver,B00005T3NH
AMAZON,00002-P-1,BOSE (R) Zone-2 Kit Room Extender,Bose Zone-2 Kit Room Extender - Zone-2 Room Extender,B000067O94
AMAZON,00004-P-1-BK,Bose� WB-3 Bookshelf Speaker Wall Brackets (Pair) � Black,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair) - Wall Brackets Black,B00006HO59
AMAZON,00005-BK,Bose 151 Environmental Speaker Pair with Brackets (Black),Bose 151 Environmental Speaker Pair Black,B00006I539
AMAZON,00005-P-1-BK,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair,Bose 151 Environmental Speaker Pair - Wall Mount Brackets Black,B08HMCW5JK
AMAZON,00005-P-1-WH,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,B07RZVRMS8
AMAZON,00005-WH,Bose 151 Indoor/Outdoor Speaker Pair (White),Bose 151 Environmental Speaker Pair White,B00007AJ8B
AMAZON,00006-BK,Bose 201-V Stereo Loudspeakers (Pair) - Black,Bose 201-V Stereo Loudspeakers Black,B00006L7RT
AMAZON,00006-CH,Bose 201-V Stereo Loudspeakers (Pair) - Cherry,Bose 201-V Stereo Loudspeakers Cherry,B00006L7RU
AMAZON,00007-P-1-BK,"USAV Solutions Replacement Mounting Bracket for Bose 151 SE and 161 Speakers, Black, Plastic Wall Mount, Single Bracket with Mounting Hardware",Bose 151 SE or 161 - Mounting Bracket Black,B0FP4D8QMZ
AMAZON,00007-P-1-WH,USAV Solutions Replacement Mounting Bracket for Bose 151 SE or 161 Speaker - White - Single,Bose 151 SE or 161 - Mounting Bracket White,B0FP3V344P
AMAZON,00007-P-4-BK,USAV Wall Mount Brackets for Black Bose 161 151 SE Speaker - Pair,Bose 151 SE or 161 - Wall Mount Brackets Black,B0B5CHTXD6
AMAZON,00008-BK,Bose� FS-1 Bookshelf Speaker floorstands (Pair) � Black and Silver,Bose FS-1 Bookshelf Speaker Floorstands Black,B0000E6GHH
AMAZON,00009-GR,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,Bose Companion 3 Multimedia Speaker System Graphite,B00011CNWG
AMAZON,00010-GY,Bose Wave - Audio System - Radio / Cd - Graphite Gray,Bose Wave Audio System Radio/CD Grey,B00021Y9N6
AMAZON,00011,Bose(R) Lifestyle 38 DVD Home Entertainment System,Bose Lifestyle 38 DVD Home Entertainment System,B0002F94UA
AMAZON,00012,Lifestyle SA-2 Amplifier,Bose Lifestyle SA-2 Amplifier,B0002JUH34
AMAZON,00013-GR,Bose(R) 321 GS Series II DVD Home Entertainment System - Graphite,Bose 321 GS Series II DVD Home Entertainment System Graphite,B0002JY6SG
AMAZON,00013-P-1,321 GS Series II Media Center ONLY with Updated firmware,Bose 321 GS Series II DVD Home Entertainment System - Media Center,0F-1H0O-RVQN
AMAZON,00014-GR,BOSE(R) 321 Series II DVD Home Entertainment System Graphite,Bose 321 Series II DVD Home Entertainment System Graphite,B0002JY6T0
AMAZON,00014-P-3,Bose 321 Series II. Subwoofer only.,Bose 321 Series II DVD Home Entertainment System - Subwoofer,3X-TPUO-CDOF
AMAZON,00014-P-5,Replacement Subwoofer for Bose 3-2-1 321 Series II - Acoustimass Module Only,Bose 321 Series II DVD Home Entertainment System - Subwoofer - Acoustimass Module,B0DW5Z1TZR
AMAZON,00015,Bose Companion 2; Multimedia Speaker System,Bose Companion 2 Multimedia Speaker System,B00062QY5W
AMAZON,00016,Bose 141 Pair Fullrange Bookshelf Speakers,Bose 141 Bookshelf Speakers,B00091U9YW
AMAZON,00017-PL,Bose Wave Radio II - Platinum White,Bose Wave Radio II Platinum White,B0009I94LE
AMAZON,00018,Bose Wave Radio/CD Player - AWRC-1P White Certified (Renewed),Bose Wave Radio and CD Player AWRC-1P,113-7262710-8787424
AMAZON,00018-WH,Bose Wave Radio and CD Player AWRC-1P White,Bose Wave Radio and CD Player AWRC-1P White,B0009I9AY0
AMAZON,00019,Bose� Link AL8 homewide Wireless Audio Link,Bose Link AL8 Wireless Audio Link,B0009JEZTY
AMAZON,00020-N,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - New Open Box,Bose CineMate Digital 2.1 Channel Home Theater Speaker System New,B000A0QIEC
AMAZON,00020-P-1,"Bose Cinemate Remote for 120, 130, and 520 systems","Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Remote Control for 120, 130, 520",B00TEAYFTY
AMAZON,00021-BK,Bose Acoustimass 10 Series IV Home Entertainment Speaker System - Black,Bose Acoustimass 10 Series IV Home Entertainment Speaker System Black,B000GFPTQY
AMAZON,00022,Bose Companion 3 Series II Multimedia Speaker System,Bose Companion 3 Series II Multimedia Speaker System,B00064X4QM
