order_number,sku,name,condition,color,repair service,conditions,option,batterie type,delivery method,for,confition,conidtion,upgrade kit,model,condition:,item cost,cable length,timestamp,payment_method,payment_status,fulfillment_status,fulfillment_status_code,order_subtotal,order_tax,order_shipping,order_handling_fee,order_total,order_total_excluding_shipping_cost,order_tax_1_name,order_tax_1_value,order_tax_2_name,order_tax_2_value,order_tax_3_name,order_tax_3_value,order_tax_4_name,order_tax_4_value,discount,tips,surcharges
4741,4817,REPAIR SERVICE for Bose Sounddock Series II,,,,,,,,,,,,,,,,5/20/2026 12:55,Credit or debit card,Paid,Awaiting Processing,NEW,86,0,74.9,0,160.9,86,,,,,,,,,0,,
4740,3881,"Replacement GRILLE, METAL for Bose 251 Environmental Speaker",,White,,,,,,,,,,,,,,5/20/2026 7:32,PayPal,Paid,Shipped,SHIPPED,134,0,14.67,0,148.67,134,,,,,,,,,0,,
4739,1029,Replacement CD drive for Bose Music Wave System 269866-01,USAV Refurbished - This item has undergone a thorough inspection and cleaning process to ensure it is in very good condition. It has been tested and is confirmed to work great.,,,,,,,,,,,,,,,5/19/2026 18:54,Credit or debit card,Paid,Shipped,SHIPPED,63.88,4.95,15.99,0,84.82,68.83,California State Tax,3.99,Sacramento County Tax,0.64,,,Special District Tax,0.32,0,,
4738,1035,Bose Wave Music System  AWRCC1 AWRCC2 CD Player Radio CD Control Circuit Board,,,,,,,,,,,,,,,,5/19/2026 10:19,PayPal,Paid,Shipped,SHIPPED,118.88,0,8.49,0,127.37,118.88,,,,,,,,,0,,
4737,00106-RS,REPAIR SERVICE  for Bose Wave® music system IV,,,,,,,,,,,,,,,,5/18/2026 9:09,PayPal,Paid,Awaiting Processing,NEW,198,0,32.3,0,230.3,198,,,,,,,,,0,,
4736,1218,S-Video to HDMI Output Upgrade Kit For Bose Lifestyle AV18 AV28 AV38 AV48,New,,,,,,,,,,,,,,,5/18/2026 4:31,Credit or debit card,Paid,Awaiting Processing,NEW,200.76,15.56,0,0,216.32,216.32,California State Tax,12.54,Orange County Tax,2.01,,,Special District Tax,1,0,,
4736,00021-RS,Bose Repair Service For Bose Lifestyle AV28 Media Center,,,,,,,,,,,,,,,,5/18/2026 4:31,Credit or debit card,Paid,Awaiting Processing,NEW,200.76,15.56,0,0,216.32,216.32,California State Tax,12.54,Orange County Tax,2.01,,,Special District Tax,1,0,,
4736,01791-6,USAV Bluetooth Adapter for Wave Radio CD player AWRC-1G AWRC-1P,,,,,,,,,,,,,,,,5/18/2026 4:31,Credit or debit card,Paid,Awaiting Processing,NEW,200.76,15.56,0,0,216.32,216.32,California State Tax,12.54,Orange County Tax,2.01,,,Special District Tax,1,0,,
4735,01233-1,Speaker cable for Bose 3-2-1 Home Theater System Speaker 321 Cable (Subwoofer to Speakers),Used - Very good condition,,,,,,,,,,,,,,,5/17/2026 15:33,Credit or debit card,Paid,Shipped,SHIPPED,176.76,0,10.13,0,186.89,176.76,,,,,,,,,0,,
4735,119,Bose Acoustimass Module Cable -Subwoofer To Media Center For Bose 321 Series I,,,,,,,,,,,,,,,,5/17/2026 15:33,Credit or debit card,Paid,Shipped,SHIPPED,176.76,0,10.13,0,186.89,176.76,,,,,,,,,0,,
