Payment Number,Payment Number Prefix,Payment Number Suffix,VendorPayment ID,Date,Vendor Name,Mode,Description,Exchange Rate,Currency Code,Amount,Paid Through,Reference Number,PIPayment ID,Bill Date,Bill Number,Bill Amount,Payment Status,Bank Charges
1,,1,5623409000000094597,2025-09-10,Evergreen Goodwill,Cash,,1.000000000000,USD,321.440,Petty Cash,,5623409000000094606,2025-09-10,0911Chi,321.440,Paid,0.000
2,,2,5623409000000097046,2025-09-12,GW,Credit Card,,1.000000000000,USD,180.000,Petty Cash,,5623409000000097055,2025-09-12,123,180.000,Paid,0.000
3,,3,5623409000000118237,2025-10-12,vol-tronics,Credit Card,,1.000000000000,USD,40.000,Petty Cash,17-13683-94798,5623409000000118385,2025-10-12,17-13683-94798,40.000,Paid,0.000
5,,5,5623409000000126434,2025-10-24,greensale99,Cash,,1.000000000000,USD,95.880,Petty Cash,,5623409000000126443,2025-10-23,23-13734-71078,95.880,Paid,0.000
6,,6,5623409000000131164,2025-11-05,rafa3570 eBay,Cash,,1.000000000000,USD,56.540,Petty Cash,,5623409000000131173,2025-11-05,24-13788-95020,56.540,Paid,0.000
22,,22,5623409000001733730,2026-03-16,flatearth,Credit Card,,1.000000000000,USD,166.980,Petty Cash,,5623409000001733739,2026-03-16,20-14359-97963,166.980,Paid,0.000
27,,27,5623409000001803284,2026-03-15,Goodwill of North Central Wisconsin,Credit Card,,1.000000000000,USD,32.250,Petty Cash,,5623409000001803293,2026-03-15,257428525,32.250,Paid,0.000
28,,28,5623409000001801548,2026-03-17,lestesokol,Cash,,1.000000000000,USD,83.290,Petty Cash,,5623409000001801557,2026-03-17,11-14375-95961,83.290,Paid,0.000
29,,29,5623409000001801584,2026-03-16,goodwillsocalshopuser,Credit Card,,1.000000000000,USD,27.490,Petty Cash,,5623409000001801593,2026-03-15,25-14353-81322,27.490,Paid,0.000
30,,30,5623409000001801620,2026-03-15,Goodwill Keystone Area - Reading,Credit Card,,1.000000000000,USD,360.970,Petty Cash,,5623409000001801624,2026-02-05,60263814,360.970,Paid,0.000
31,,31,5623409000001801733,2026-03-17,yesiprado,Credit Card,,1.000000000000,USD,85.000,Petty Cash,9434608106244925473618,5623409000001801742,2026-03-17,16-14368-83763,85.000,Paid,0.000
32,,32,5623409000001801857,2026-03-17,josstru75,Credit Card,,1.000000000000,USD,32.500,Petty Cash,,5623409000001801866,2026-03-17,16-14369-75432,32.500,Paid,0.000
33,,33,5623409000001801968,2026-03-17,bhairavi31,Credit Card,,1.000000000000,USD,450.000,Petty Cash,,5623409000001801977,2026-03-17,18-14367-87717,450.000,Paid,0.000
34,,34,5623409000001804079,2026-03-17,romo-resellers,Cash,,1.000000000000,USD,379.380,Petty Cash,,5623409000001804088,2026-03-18,26-14356-27669,379.380,Paid,0.000
35,,35,5623409000001804216,2026-03-17,tallyoungbloo0,Credit Card,,1.000000000000,USD,175.000,Petty Cash,,5623409000001804225,2026-03-17,06-14385-72372,175.000,Paid,0.000
36,,36,5623409000001804311,2026-03-17,tallyoungbloo0,Cash,,1.000000000000,USD,368.000,Petty Cash,,5623409000001804320,2026-03-17,04-14388-86629,368.000,Paid,0.000
37,,37,5623409000001804420,2026-03-17,thedealdepotco,Credit Card,,1.000000000000,USD,76.640,Petty Cash,,5623409000001804429,2026-03-17,01-14394-16382,76.640,Paid,0.000
38,,38,5623409000001804529,2026-03-17,redroverva,Credit Card,,1.000000000000,USD,75.000,Petty Cash,,5623409000001804538,2026-03-17,20-14366-22621,75.000,Paid,0.000
39,,39,5623409000001804604,2026-03-16,nataliiazvir,Credit Card,,1.000000000000,USD,79.330,Petty Cash,,5623409000001804613,2026-03-16,14-14369-42529,79.330,Paid,0.000
40,,40,5623409000001800704,2026-03-09,Goodwill-Easter Seals MN,Credit Card,,1.000000000000,USD,68.210,Petty Cash,,5623409000001800713,2026-03-09,61068269,68.210,Paid,0.000
41,,41,5623409000001800805,2026-03-16,Bose Corporation,Credit Card,,1.000000000000,USD,9.000,Petty Cash,,5623409000001800814,2026-03-16,B0033964009,9.000,Paid,0.000
42,,42,5623409000001800930,2026-03-17,LCPU Cody,Cash,,1.000000000000,USD,875.000,Petty Cash,,5623409000001800939,2026-03-17,LCPU Cody,875.000,Paid,0.000
