"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2026-06-20T07:32:45+00:00","113-2359450-5503402","QU-0W1L-CCVB","B0BDTJKS7R","X003GTWO9N","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","1","IND8","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNGSAH5709183","Defective|THEY ARE PLASTIC - THEY DON&#39;T SUPPORT BOSE SPEAKERS AS THEY MENTIONED IN THE DESCRIPTION!!!"
"2026-06-19T16:14:35+00:00","112-0122836-0441073","NV-6VNP-5YFT","B0C79P9K65","X004NN93RH","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","LAS2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNGSAD8886843",
"2026-06-19T15:12:42+00:00","112-7861252-4061028","QU-0W1L-CCVB","B0BDTJKS7R","X003GTWO9N","USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black","1","MEM3","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNNE6S52Y35C","I tried these with my Bose speakers, and the insert wouldn&#39;t secure the weight of the speaker.  I bought two of these, but am returning only one because the plastic part of one became damaged trying."
"2026-06-19T03:24:54+00:00","113-3438845-6077060","AH-GZU6-NKEM","B0C79P9K65","X00444UQJT","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","IND8","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNO552394647",
"2026-06-18T01:59:45+00:00","112-7716528-2168228","01900-N","B0F6WHQJNX","X004UQ7XL5","Replacement Bluetooth WiFi SoundTouch Pedestal for Bose Wave Music System IV Espresso Black","1","PHX6","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNO465331842",
"2026-06-18T01:47:58+00:00","113-3389628-2609828","XQ-FIIT-24XA","B0C7FKCYK2","X0044C3SWD","USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P","1","LEX1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNNE6B95CNM1","Order two of the same thing"
"2026-06-17T11:41:01+00:00","112-2218443-2461044","AH-GZU6-NKEM","B0C79P9K65","X00444UQJT","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","CHA1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNNE6RWB9LF2",
"2026-06-17T02:25:18+00:00","701-9033146-9171422","FJ-YYXV-BKTN","B0BDTJNQ86","X003ELDZ3R","USAV Set of 5 Speaker Cable for Bose Lifestyle Acoustimass System - RCA to Bare Wire","1","LAS2","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNPMGP0480578",
"2026-06-15T23:29:42+00:00","113-5833804-4015417","05026-F","B0FGKN3BWP","X004WM85UF","USAV Solutions Replacement Jewel Cube II Center Channel Speaker, White, Compact Design, High-Performance Audio, Wired Connectivity, for Home Theater System","1","LEX2","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNO563406638",
"2026-06-15T22:42:55+00:00","111-3369448-2234655","R5-ED3Q-J0IS","B011IH685E","X003U4WRHD","Bose 731396-1100 SoundTouch 10 Wireless Speaker, Works with Alexa, Black","1","IND8","CUSTOMER_DAMAGED","MISSED_ESTIMATED_DELIVERY","Unit returned to inventory","LPNO563921867",
"2026-06-14T18:06:07+00:00","111-0250414-1801065","NV-6VNP-5YFT","B0C79P9K65","X004NN93RH","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","LEX1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNNE6NFYH7BG",
"2026-06-13T18:19:48+00:00","111-0676788-3857811","NA-SZ9C-0XMT","B0C79P9K65","X00512G511","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","CHA1","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNNE6WXNF34C",
"2026-06-13T18:02:18+00:00","113-5360063-2587400","5U-TN1A-Q7PR","B0C7B348MY","X004A0205P","USAV Bose Wave Music System II III IV AWRCC1, AWRCC2 - OEM Bluetooth Adapter Only","1","EWR7","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRRJJ0040240",
"2026-06-13T16:57:57+00:00","112-9951511-5289858","01137-N","B00NTUEDMY","X004TFNIT3","Bose Bluetooth Audio Adapter","1","IND8","DEFECTIVE","UNWANTED_ITEM","Unit returned to inventory","LPNO568861198","No need it"
"2026-06-13T15:40:08+00:00","112-2826894-1573859","01137-N","B00NTUEDMY","X004TFNIT3","Bose Bluetooth Audio Adapter","1","IND8","DEFECTIVE","UNWANTED_ITEM","Unit returned to inventory","LPNO562475818","It didn&#39;t connect with my bose system"
"2026-06-13T01:28:45+00:00","113-4372415-8521827","XJ-285I-S0WO","B0B5CHTXD6","X003ARX1ON","USAV Wall Mount Brackets for Black Bose 161 151 SE Speaker - Pair","1","CHA1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNNE6SXGJ9TD",
"2026-06-12T23:45:50+00:00","111-2503576-0420259","NA-SZ9C-0XMT","B0C79P9K65","X00512G511","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","LAS2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPMGP9874886",
"2026-06-12T14:28:46+00:00","114-1678345-2953050","LV-OE1H-IRFS","B000HZDF8W","X002NZ3BE3","Bose Companion 2 Series II Multimedia Speaker System","1","FAR1","DEFECTIVE","DAMAGED_BY_FC","Unit returned to inventory","LPNAC133256286","Damaged|No|Dents, dirty smeared sound quality sub par."
"2026-06-12T13:58:02+00:00","114-2754348-8204209","NV-6VNP-5YFT","B0C79P9K65","X004NN93RH","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","LEX2","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNGSAF7400353",
"2026-06-12T01:39:46+00:00","111-6530798-6845807","21-1AH8-BB1I","B00006L7RV","X00390UUMR","Bose 301-V Stereo Loudspeakers (Pair) - Black","1","CVG2","DEFECTIVE","DAMAGED_BY_FC","Unit returned to inventory","LPNNA6G2XP4JY","The packaging was fine upon arrival. The covers for the speakers are broken and the speakers have some damage to them also."
"2026-06-12T00:58:53+00:00","114-7146626-5192258","NV-6VNP-5YFT","B0C79P9K65","X004NN93RH","USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2","1","LEX2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNO555317653",
"2026-06-11T20:39:31+00:00","111-0989436-8724263","01355-N","B0F3QG1GK4","X004N7FYO9","Replacement Bose AV 520 Control Console for Bose Cinemate 520/ Soundtouch 520","1","IND8","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNO585198447",
"2026-06-11T19:29:22+00:00","114-6392401-1787444","NV-E7S6-TME8","B0F8KCZY2K","X004WRCHY5","Replacement Bose Single Cube Speaker (White) for Bose Lifestyle Acoustimass Home Theater Speaker System","1","IND8","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNO570346773",
"2026-06-11T19:29:22+00:00","114-6392401-1787444","NV-E7S6-TME8","B0F8KCZY2K","X004WRCHY5","Replacement Bose Single Cube Speaker (White) for Bose Lifestyle Acoustimass Home Theater Speaker System","1","IND8","SELLABLE","NOT_COMPATIBLE","Unit returned to inventory","LPNO570346772","Not Compatible|Not compatible with amplifier"
"2026-06-11T01:41:44+00:00","114-4235393-5047452","3B-SK9L-KCVF","B01AWLPUAG","X0036X1R51","Bose Solo 5 TV Soundbar Sound System with Universal Remote Control, Black","1","TUS1","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNPMFR8275481",
