upis,variant_sku,listed_name,platform_sku,platform_x,groupid,Group Name,Product Type,Product Color,Product Condition,Component Type,Included Products,groupsize,idingroup,strippedname,name,sku,platform_y,ASIN,matching_likelihood,matching_method,ParentProduct,SKU_Role,source_asin,source_sku,source_title,merge_source,merge_match_type,image_url
00002,00002-BK,"Bose VCS-10 Center Channel Speaker, Black",154572446665,EBAY_MEKONG,1,Bose VCS-10 Center Channel Speaker,Product,BK,,,,9,4,Bose VCS-10 Center Channel Speaker,"Bose VCS-10 Center Channel Speaker, Black",154572446665,MEKONG_eBay,,1.03,threshold,Speaker,P,B00005T3NH,154572446665,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,,https://i.ebayimg.com/00/s/MzEwWDYzNQ==/z/8QUAAOSwFQZhGtVu/$_57.JPG?set_id=8800005007
00002,00002-BK,"Bose VCS-10 Center Channel Speaker, Black",01279-B,ECWID,1,Bose VCS-10 Center Channel Speaker,Product,BK,,,,9,5,Bose VCS-10 Center Channel Speaker,"Bose VCS-10 Center Channel Speaker, Black",01279-B,Ecwid,,1.03,threshold,Speaker,P,B00005T3NH,01279-B,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,,https://usavshop.com/products/Bose-VCS-10-Center-Channel-Speaker-Black-p468213643
00002,00002-BK,Bose VCS-10 Center Channel Speaker  bass-reflex (ported) design (Black),364772891228,EBAY_USAV,1,Bose VCS-10 Center Channel Speaker,Product,BK,,,,9,8,Bose VCS-10 Center Channel Speaker bass-reflex ported design,Bose VCS-10 Center Channel Speaker  bass-reflex (ported) design (Black),364772891228,USAV_eBay,,100.0,stripped_name,Speaker,,,364772891228,Bose VCS-10 Center Channel Speaker  bass-reflex (ported) design (Black),ebay_only,,https://i.ebayimg.com/00/s/MTA0MFgxNjAw/z/6AEAAOSwLQ9l6O8M/$_57.JPG?set_id=880000500F
00004,00004,Bose 201 Series IV,257184195892,EBAY_DRAGON,3,Bose 201 Series IV,Product,,,,,5,2,Bose 201 Series IV,Bose 201 Series IV,257184195892,DRAGON_eBay,,100.0,stripped_name,Speaker,P,B00006HO4Y,257184195892,Bose 201 Series IV,amazon_only,,https://i.ebayimg.com/00/s/MjcyWDMyMA==/z/HSMAAeSwxPhpBDmm/$_1.PNG?set_id=8800005007
00004,00004,Bose 201 Series IV speaker system,01246,ECWID,3,Bose 201 Series IV,Product,,,,,5,3,Bose 201 Series IV speaker system,Bose 201 Series IV speaker system,01246,Ecwid,,1.11,threshold,Speaker,P,B00006HO4Y,01246,Bose 201 Series IV,amazon_only,,https://usavshop.com/products/Bose-201-Series-IV-speaker-system-p466707038
00004,00004-BK,Bose 201 Series IV Bookshelf Speakers -  Black,267227846481,EBAY_DRAGON,3,Bose 201 Series IV,Product,BK,,,,5,4,Bose 201 Series IV Bookshelf Speakers,Bose 201 Series IV Bookshelf Speakers -  Black,267227846481,DRAGON_eBay,,0.92,threshold,Speaker,P,B00006HO4Y,267227846481,Bose 201 Series IV,amazon_only,,https://i.ebayimg.com/00/s/NzU3WDExMTE=/z/sboAAOSwV8JoBopZ/$_57.JPG?set_id=880000500F
00005-P-1,00005-P-1,WB-3 Bookshelf Speaker Wall Brackets (Pair)  for Bose 201 and 301  Speakers,267235687031,EBAY_DRAGON,4,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),Parts,,,Wall Brackets,,4,3,WB-3 Bookshelf Speaker Wall Brackets for Bose 201 and 301 Speakers,WB-3 Bookshelf Speaker Wall Brackets (Pair)  for Bose 201 and 301  Speakers,267235687031,DRAGON_eBay,,0.83,threshold,Speaker,A,B00006HO59,267235687031,Bose� WB-3 Bookshelf Speaker Wall Brackets (Pair) � Black,amazon_only,,https://i.ebayimg.com/00/s/NTQyWDU3NA==/z/9bEAAOSwTLRnyj9M/$_57.PNG?set_id=880000500F
00006,00006-WH,Bose 151 Environmental Speaker Pair with Brackets - White,00840,ECWID,5,Bose 151 Environmental Speaker Pair,Product,WH,,,,16,0,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets - White,00840,Ecwid,,100.0,stripped_name,Environmental Speaker,P,B00006I539,00840,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,,https://usavshop.com/products/Bose-151-Environmental-Speaker-Pair-with-Brackets-White-p371153438
00006,00006-BK,Bose 151 Environmental Speaker Pair with Brackets (Black),157375974862,EBAY_MEKONG,5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,13,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),157375974862,MEKONG_eBay,,100.0,stripped_name,Speaker,P,B00006I539,157375974862,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,,https://i.ebayimg.com/00/s/NTIwWDgxNQ==/z/6QcAAeSwYIJo5q6~/$_57.PNG?set_id=880000500F
00006,00006-BK,Bose 151 Environmental Speaker Pair with Brackets (Black),00840-B,ECWID,5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,15,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),00840-B,Ecwid,,100.0,stripped_name,Speaker,P,B00006I539,00840-B,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,,https://usavshop.com/products/Bose-151-Environmental-Speaker-Pair-with-Brackets-Black-p139979875
