variant_full_sku,variant_name,platform,external_ref_id,listed_name
00001-BK,Bose VCS-10 Center Channel Speaker - Black,AMAZON,B00005T3NH,Factory-renewed Bose VCS-10 Center Channel Speaker - Black
00001-BK,Bose VCS-10 Center Channel Speaker - Black,AMAZON,112-6617561-5046634,Factory-renewed Bose VCS-10 Center Channel Speaker - Black
00001-BK,Bose VCS-10 Center Channel Speaker - Black,EBAY_MEKONG,154572446665,"Bose VCS-10 Center Channel Speaker, Black"
00001-BK,Bose VCS-10 Center Channel Speaker - Black,EBAY_USAV,364772891228,Bose VCS-10 Center Channel Speaker  bass-reflex (ported) design (Black)
00001-BK,Bose VCS-10 Center Channel Speaker - Black,ECWID,01279-B,"Bose VCS-10 Center Channel Speaker, Black"
00001-SV,Bose VCS-10 Center Channel Speaker - Silver,EBAY_MEKONG,157213252819,"Bose VCS-10 Center Channel Speaker - Black - ""B"" Grade"
00002-P-1,Bose Zone-2 Kit Room Extender - Zone-2 Room Extender,AMAZON,B000067O94,BOSE (R) Zone-2 Kit Room Extender
00003-BK,Bose 201 Series IV - Black,EBAY_DRAGON,267227846481,Bose 201 Series IV Bookshelf Speakers -  Black
00004-P-1,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair) - Wall Brackets,EBAY_DRAGON,267235687031,WB-3 Bookshelf Speaker Wall Brackets (Pair)  for Bose 201 and 301  Speakers
00004-P-1-BK,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair) - Wall Brackets Black,AMAZON,B00006HO59,Bose� WB-3 Bookshelf Speaker Wall Brackets (Pair) � Black
00005,Bose 151 Environmental Speaker Pair,ECWID,00840-BL,Bose 151 Environmental Speaker Pair with Brackets
00005-BK,Bose 151 Environmental Speaker Pair Black,AMAZON,B00006I539,"USAV Bundle - Bose 151 Outdoor Speakers (Pair, Black) with Bose SA-3 Stereo Amplifier & Bluetooth Adapter"
00005-BK,Bose 151 Environmental Speaker Pair Black,EBAY_MEKONG,157375974862,Bose 151 Environmental Speaker Pair with Brackets (Black)
00005-BK,Bose 151 Environmental Speaker Pair Black,ECWID,00840-B,Bose 151 Environmental Speaker Pair with Brackets (Black)
00005-P-1-BK,Bose 151 Environmental Speaker Pair - Wall Mount Brackets Black,AMAZON,B08HMCW5JK,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair
00005-P-1-BK,Bose 151 Environmental Speaker Pair - Wall Mount Brackets Black,EBAY_MEKONG,157175203841,Wall Mount Ceiling Bracket for Sony SS-TSB Satellite Speakers - Pair - Black
00005-P-1-BK,Bose 151 Environmental Speaker Pair - Wall Mount Brackets Black,EBAY_USAV,363100692206,Plastic Wall Mount brackets For Black Bose 151 speaker - Pair
00005-P-1-BK,Bose 151 Environmental Speaker Pair - Wall Mount Brackets Black,ECWID,04770,Wall Mount brackets For Black Bose 151 speaker -  Pair
00005-P-1-WH,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,AMAZON,B07RZVRMS8,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair
00005-P-1-WH,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,AMAZON,B0CVR15NP8,USAV Wall Mount Brackets for White Bose 101 Speaker - Pair
00005-P-1-WH,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,EBAY_MEKONG,154530956508,Wall Mount brackets For White Bose 151 speaker - Pair
00005-P-1-WH,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,EBAY_MEKONG,157454729633,Wall Mount Ceiling Bracket for Bose Jewel Double Cube Speaker - Single - White
00005-P-1-WH,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,EBAY_USAV,362745863727,Plastic Wall Mount brackets For White Bose 151 Speaker - Pair
00005-P-1-WH,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,EBAY_USAV,362745869207,Wall Mount brackets For White Bose 101 speaker - Pair
00005-P-1-WH,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,EBAY_DRAGON,265730206847,Wall Mount brackets For White Bose 151 speaker - Pair
00005-P-1-WH,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,ECWID,01204,Wall Mount brackets For White Bose 151 speaker - Pair
00005-P-2,Bose 151 Environmental Speaker Pair - Adjustable Tilt-Mount Brackets,EBAY_MEKONG,157189642362,Genuine Bose Adjustable Tilt-Mount Brackets for Bose 151 Speaker - Single
