Item Name,SKU,Sales Description,Selling Price,Is Returnable Item,Brand,Manufacturer,UPC,EAN,ISBN,Part Number,Product Type,Sales Account,Unit,Purchase Description,Purchase Price,Item Type,Purchase Account,Inventory Account,Reorder Level,Preferred Vendor,Opening Stock,Opening Stock Value,Package Weight,Package Length,Package Width,Package Height,Weight unit,Dimension unit,Warehouse Name
Bose VCS-10 Center Channel Speaker,00001,Bose VCS-10 Center Channel Speaker,,False,,,,,,,goods,Sales,pcs,Bose VCS-10 Center Channel Speaker,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose VCS-10 Center Channel Speaker Black Used,00001-BK-U,Bose VCS-10 Center Channel Speaker Black Used,,False,,,,,,,goods,Sales,pcs,Bose VCS-10 Center Channel Speaker Black Used,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose VCS-10 Center Channel Speaker Black,00001-BK,Bose VCS-10 Center Channel Speaker Black,,False,,,,,,,goods,Sales,pcs,Bose VCS-10 Center Channel Speaker Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Zone-2 Kit Room Extender,00002,Bose Zone-2 Kit Room Extender,,False,,,,,,,goods,Sales,pcs,Bose Zone-2 Kit Room Extender,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Zone-2 Kit Room Extender - Zone-2 Room Extender,00002-P-1,Bose Zone-2 Kit Room Extender - Zone-2 Room Extender,,False,,,,,,,goods,Sales,pcs,Bose Zone-2 Kit Room Extender - Zone-2 Room Extender,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 201 Series IV,00003,Bose 201 Series IV,,False,,,,,,,goods,Sales,pcs,Bose 201 Series IV,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 201 Series IV Black,00003-BK,Bose 201 Series IV Black,,False,,,,,,,goods,Sales,pcs,Bose 201 Series IV Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),00004,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),,False,,,,,,,goods,Sales,pcs,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose WB-3 Bookshelf Speaker Wall Brackets (Pair) - Wall Brackets Black,00004-P-1-BK,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair) - Wall Brackets Black,,False,,,,,,,goods,Sales,pcs,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair) - Wall Brackets Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose WB-3 Bookshelf Speaker Wall Brackets (Pair) - Wall Brackets,00004-P-1,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair) - Wall Brackets,,False,,,,,,,goods,Sales,pcs,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair) - Wall Brackets,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 Environmental Speaker Pair,00005,Bose 151 Environmental Speaker Pair,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 Environmental Speaker Pair White,00005-WH,Bose 151 Environmental Speaker Pair White,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair White,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 Environmental Speaker Pair Black,00005-BK,Bose 151 Environmental Speaker Pair Black,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,00005-P-1-WH,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair - Wall Mount Brackets White,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 151 Environmental Speaker Pair - Wall Mount Brackets Black,00005-P-1-BK,Bose 151 Environmental Speaker Pair - Wall Mount Brackets Black,,False,,,,,,,goods,Sales,pcs,Bose 151 Environmental Speaker Pair - Wall Mount Brackets Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
